"context","gene","n_mutated","n_sequenced","mutated_percent"
"STAD","FGF1",3,436,0.688073394495413
"STAD","FGF10",8,436,1.8348623853211
"STAD","FGF2",5,436,1.14678899082569
"STAD","FGF7",5,436,1.14678899082569
"STAD","FGFR1",12,436,2.75229357798165
"STAD","FGFR2",16,436,3.6697247706422
"STAD","FGFR3",10,436,2.29357798165138
"STAD","FGFR4",14,436,3.21100917431193
"STAD","FLT1",13,436,2.98165137614679
"STAD","FLT3",10,436,2.29357798165138
"STAD","FLT4",21,436,4.81651376146789
"STAD","FYN",9,436,2.06422018348624
"STAD","HBEGF",3,436,0.688073394495413
"STAD","HGF",15,436,3.44036697247706
"STAD","HRAS",1,436,0.229357798165138
"STAD","IGF1",4,436,0.917431192660551
"STAD","IGF1R",18,436,4.12844036697248
"STAD","IGF2",5,436,1.14678899082569
"STAD","INSR",12,436,2.75229357798165
"STAD","JAK1",26,436,5.96330275229358
"STAD","JAK2",12,436,2.75229357798165
"STAD","JAK3",12,436,2.75229357798165
"STAD","KDR",13,436,2.98165137614679
"STAD","KIT",10,436,2.29357798165138
"STAD","KRAS",38,436,8.71559633027523
"STAD","MAP2K1",6,436,1.37614678899083
"STAD","MAP2K2",4,436,0.917431192660551
"STAD","MAPK1",5,436,1.14678899082569
"STAD","MAPK3",4,436,0.917431192660551
"STAD","MERTK",7,436,1.60550458715596
"STAD","MET",6,436,1.37614678899083
"STAD","MST1R",16,436,3.6697247706422
"STAD","MTOR",29,436,6.65137614678899
"STAD","MYC",7,436,1.60550458715596
"STAD","NRAS",4,436,0.917431192660551
"STAD","NRG1",18,436,4.12844036697248
"STAD","NTRK1",10,436,2.29357798165138
"STAD","NTRK2",14,436,3.21100917431193
"STAD","NTRK3",13,436,2.98165137614679
"STAD","PDGFA",3,436,0.688073394495413
"STAD","PDGFB",5,436,1.14678899082569
"STAD","PDGFRA",12,436,2.75229357798165
"STAD","PDGFRB",11,436,2.52293577981651
"STAD","PDPK1",1,436,0.229357798165138
"STAD","PGF",4,436,0.917431192660551
"STAD","PIK3CA",67,436,15.3669724770642
"STAD","PIK3CB",10,436,2.29357798165138
"STAD","PIK3CD",17,436,3.89908256880734
"STAD","PTK2",9,436,2.06422018348624
"STAD","PTK2B",20,436,4.58715596330275
"STAD","RAF1",9,436,2.06422018348624
"STAD","RET",16,436,3.6697247706422
"STAD","ROS1",21,436,4.81651376146789
"STAD","RPS6KB1",6,436,1.37614678899083
"STAD","RPTOR",16,436,3.6697247706422
"STAD","SMAD2",8,436,1.8348623853211
"STAD","SMAD3",7,436,1.60550458715596
"STAD","SRC",4,436,0.917431192660551
"STAD","STAT1",11,436,2.52293577981651
"STAD","STAT3",6,436,1.37614678899083
"STAD","STAT5A",7,436,1.60550458715596
"STAD","STAT5B",21,436,4.81651376146789
"STAD","STAT6",8,436,1.8348623853211
"STAD","TEK",19,436,4.35779816513761
"STAD","TGFB1",3,436,0.688073394495413
"STAD","TGFBR1",10,436,2.29357798165138
"STAD","TGFBR2",15,436,3.44036697247706
"STAD","TP53",198,436,45.4128440366973
"STAD","TYK2",15,436,3.44036697247706
"STAD","TYRO3",7,436,1.60550458715596
"STAD","VEGFB",11,436,2.52293577981651
"STAD","VEGFC",11,436,2.52293577981651
"STAD","YES1",4,436,0.917431192660551
