"disease","feature","k","accession","n_case","n_control","smd_min","smd_max","smd_DL","se_DL","p_DL","smd_REML","se_HK","p_REML_HK","ci_lo","ci_hi","I2","tau2_REML","fdr_DL","fdr_REML_HK"
"CRC","RET_ALK_NTRK",2,"GSE41258;GSE23878",217,77,-1.10260716600946,-0.73541346180249,-0.984197037604316,0.171634772571834,9.79436196604125e-09,-0.99989717971866,0.164818442661341,0.104002260244897,-3.09411405647113,1.09431969703381,24.5200448069253,0.00344496656918762,2.77506922371169e-08,0.196448713795916
"HCC","RET_ALK_NTRK",1,"GSE62232",81,5,-1.37172595854415,-1.37172595854415,-1.37172595854415,0.472530846141332,0.00369684289128531,-1.37172595854415,NA,NA,NA,NA,0,0,NA,NA
"IBD","RET_ALK_NTRK",2,"GSE87473;GSE179285",128,52,-0.42754962454761,0.176995265024029,-0.142013290991293,0.301808769683238,0.637968807600247,-0.142065074514859,0.301805893690889,0.719920562397635,-3.97687255033547,3.69274240130575,62.8480696301155,0.114283174684059,0.72303131528028,0.81590997071732
"NAFLD","RET_ALK_NTRK",1,"GSE33814",31,13,-0.377765152161321,-0.377765152161321,-0.377765152161321,0.332870554912416,0.256429356371457,-0.377765152161321,NA,NA,NA,NA,0,0,NA,NA
"STAD","RET_ALK_NTRK",1,"GSE13911",38,31,-0.745855126445411,-0.745855126445411,-0.745855126445411,0.250209936784095,0.00287386401069382,-0.745855126445411,NA,NA,NA,NA,0,0,NA,NA
"Asthma","SRC_FAK",3,"GSE4302;GSE43696;GSE67472",192,91,-0.137987948996061,0.343876185303202,0.187860224339206,0.148343060556653,0.20537335453107,0.188776221453802,0.14870650135644,0.332006015551163,-0.451056212538975,0.828608655446579,20.6347681501078,0.0112391536210539,0.290945585585682,0.434161712643828
"COPD","SRC_FAK",2,"GSE76925;GSE47460",256,131,-0.280518517499887,-0.278776314371841,-0.279917379045754,0.108735603221638,0.0100444966037373,-0.279917379045754,0.000828213652472579,0.00188361169325145,-0.290440831279365,-0.269393926812142,0,0,0.0301334898112119,0.0282541753987717
"CRC","SRC_FAK",2,"GSE41258;GSE23878",217,77,-0.734550928495517,-0.280267493453698,-0.557370675316474,0.221578906755957,0.0118880516589091,-0.560226523311215,0.220915575177229,0.239121484856287,-3.36722505092288,2.24677200430045,53.2816755928546,0.049400276204411,0.0183724434728596,0.290361803039777
"HCC","SRC_FAK",1,"GSE62232",81,5,-1.03762527772542,-1.03762527772542,-1.03762527772542,0.4675525278729,0.0264683643250342,-1.03762527772542,NA,NA,NA,NA,0,0,NA,NA
"IBD","SRC_FAK",3,"GSE75214;GSE87473;GSE179285",202,75,0.442038701768916,0.462230126604971,0.453686741753368,0.145771104992634,0.00185621376516045,0.453686741753368,0.00632275521816408,0.000194166391323122,0.426482121754397,0.48089136175234,0,0,0.00315556340077277,0.00330082865249307
"NAFLD","SRC_FAK",2,"GSE33814;GSE66676",62,47,-0.194102166879557,0.109823117677764,-0.084157403234852,0.198861217612825,0.67215178295761,-0.084157403234852,0.146038154341303,0.667182711465642,-1.93974809158853,1.77143328511883,0,0,0.872548557125363,0.930302148823174
"STAD","SRC_FAK",1,"GSE13911",38,31,-0.0909585201483035,-0.0909585201483035,-0.0909585201483035,0.242144185441952,0.707186151131044,-0.0909585201483035,NA,NA,NA,NA,0,0,NA,NA
"Asthma","TAM_AXL_AXIS",3,"GSE4302;GSE43696;GSE67472",192,91,0.0466243933505849,0.457957905911298,0.219591979079842,0.131316027376237,0.0944769075103257,0.219591979079842,0.121245442741226,0.211820179267155,-0.302085056100376,0.74126901426006,0,0,0.160610742767554,0.360094304754163
"COPD","TAM_AXL_AXIS",1,"GSE76925",111,40,0.245449692270371,0.245449692270371,0.245449692270371,0.184955393514008,0.184483850256202,0.245449692270371,NA,NA,NA,NA,0,0,NA,NA
"CRC","TAM_AXL_AXIS",2,"GSE41258;GSE23878",217,77,-0.348712954205475,-0.0232177447266005,-0.113913547290171,0.145929163129355,0.435032782275662,-0.106141997033963,0.141827413622786,0.590991586709283,-1.90823015172722,1.69594615765929,9.7359356872675,0,0.49303715324575,0.627928560878613
"HCC","TAM_AXL_AXIS",1,"GSE62232",81,5,-0.73384162013053,-0.73384162013053,-0.73384162013053,0.464194603296932,0.113902691780238,-0.73384162013053,NA,NA,NA,NA,0,0,NA,NA
"IBD","TAM_AXL_AXIS",3,"GSE75214;GSE87473;GSE179285",202,75,0.373426302834139,0.80094815809744,0.604853659322702,0.146709596865826,3.74302048588793e-05,0.604853659322702,0.119677202329908,0.0369905617467913,0.0899242180291461,1.11978310061626,0,0,7.95391853251185e-05,0.0786049437119316
"NAFLD","TAM_AXL_AXIS",2,"GSE33814;GSE66676",62,47,-0.47411927316958,-0.356433721191139,-0.398712341693272,0.200352395958477,0.0465848472709954,-0.398712341693272,0.0564632715941715,0.0895587893391684,-1.11614623064305,0.318721547256508,0,0,0.372678778167963,0.716470314713347
"STAD","TAM_AXL_AXIS",1,"GSE13911",38,31,-0.271783630194007,-0.271783630194007,-0.271783630194007,0.243123666752213,0.263617289384741,-0.271783630194007,NA,NA,NA,NA,0,0,NA,NA
"Asthma","TGFB_SMAD",3,"GSE4302;GSE43696;GSE67472",192,91,-0.502130617515594,0.0536850992349637,-0.145567347236939,0.166461224158957,0.381855808704765,-0.145173699821926,0.16714749248273,0.476667062221975,-0.864351314623523,0.57400391497967,36.7183018943504,0.0293228779996716,0.453569479148345,0.551000175770256
"COPD","TGFB_SMAD",2,"GSE76925;GSE47460",256,131,-0.239000518458257,-0.11068988180959,-0.19461699180113,0.108526413144511,0.0729300109411188,-0.19461699180113,0.0610326234366929,0.193462463552718,-0.970110000773604,0.580876017171344,0,0,0.156278594873826,0.414562421898681
"CRC","TGFB_SMAD",2,"GSE41258;GSE23878",217,77,-0.684776604932195,-0.437940148074081,-0.499711298120367,0.136277831979419,0.000245550189855455,-0.499711298120367,0.106919113517815,0.134189000910959,-1.85824744468803,0.858824848447292,0,0,0.000521794153442841,0.224169370715069
"HCC","TGFB_SMAD",1,"GSE62232",81,5,1.39272597243785,1.39272597243785,1.39272597243785,0.472887852531916,0.00322797435898321,1.39272597243785,NA,NA,NA,NA,0,0,NA,NA
