disease,feature,n_cohorts,per_cohort_robust,n_fdr_raw,median_smd,meta_k,meta_est,meta_ci_lo,meta_ci_hi,meta_p,meta_fdr,meta_I2,meta_measures,dl_fdr,adhoc_fdr,joint_n,joint_n_fdr,joint_median_d_adj,joint_robust,xcell_resid_robust,sc_hits,sc_cells,sc_families,sc_median_pairs,tcga_hr,tcga_fdr,crc_ext_hr,crc_ext_p,crc_ext_model
COPD,VEGF_PDGF_AXIS,2,FALSE,0,-0.40501245254232,2,-0.385987812246985,-0.691167078334281,-0.0808085461596881,0.0395627180303111,0.296720385227333,0,SMDH 2,0.004273315196731,0.647626107011489,2,0,-0.206864130353741,FALSE,FALSE,0,,,,,,,,
COPD,WNT_CTNNB1,2,FALSE,0,-0.53876403060251,2,-0.525496294100538,-2.56982611146468,1.5188335232636,0.189145787155745,0.415475115455989,50.277881024877,SMDH 2,0.00545125332489246,0.647626107011489,2,1,-0.331787084605319,FALSE,FALSE,0,,,,,,,,
CRC,EPH_RECEPTORS,3,TRUE,2,1.88593889091891,3,2.21783738594846,1.34784177721482,3.0878329946821,0.00820971752420749,0.0232608663185879,63.2373489051282,SMCRPH 1|SMDH 2,3.59804676572451e-26,0.0441654762898769,3,3,1.0852464620229,TRUE,TRUE,4,malignant cell; malignant cell vs BEST4+ colonocyte; malignant cell vs colonocyte; malignant cell vs early colonocyte,cell-identity;same-cell-type,19,0.973301806094935,0.916204659682388,0.883419138775148,0.0904440213700531,age+stage
CRC,ERBB_LIGANDS,3,TRUE,2,-0.368326155568458,3,-0.444504772179295,-0.680172436486782,-0.208837107871808,0.0148463053608047,0.03154839889171,0,SMCRPH 1|SMDH 2,7.59912712936062e-06,0.0788365876605408,3,2,-0.615100519831762,TRUE,TRUE,0,,,,0.78777916186225,0.0495579254656649,0.997953651076764,0.977808134677157,age+stage
CRC,ERBB_RECEPTORS,3,FALSE,1,0.193337738318514,3,-0.159946195153102,-1.860599805988,1.54070741568179,0.724900042327165,0.770206294972613,92.5384093353593,SMCRPH 1|SMDH 2,0.763839541170275,0.773211670647324,3,1,-0.269644058572114,FALSE,FALSE,0,,,,1.12951801438693,0.388732747840826,0.954754735829957,0.525948917951196,age+stage
CRC,FGFR_AXIS,3,TRUE,2,-1.40761373019363,3,-1.66501792000595,-2.41742428040541,-0.912611559606484,0.0108512667144223,0.0263530763064541,61.8794898829866,SMCRPH 1|SMDH 2,2.13019037813041e-16,0.0445608364355405,3,3,-1.19071127600641,TRUE,TRUE,0,,,,1.06155650456231,0.738445082907325,1.1503254242575,0.0483202182520477,age+stage
CRC,HGF_MET_AXIS,3,TRUE,2,0.790029554227907,3,0.936531843183471,0.40879219993915,1.46427148642779,0.0167232231167957,0.0315883103317251,0.0112505346484441,SMCRPH 1|SMDH 2,3.61986179652793e-12,0.0473824654975877,3,2,0.816654744218151,TRUE,TRUE,4,malignant cell; malignant cell vs BEST4+ colonocyte; malignant cell vs colonocyte; malignant cell vs early colonocyte,cell-identity;same-cell-type,19,1.02715833377679,0.916204659682388,0.946259338776716,0.452134979376238,age+stage
CRC,IGF_INSR_AXIS,3,TRUE,2,-0.794682739098584,3,-0.967024132798373,-1.33650796388444,-0.597540301712301,0.00779369331806884,0.0232608663185879,0,SMCRPH 1|SMDH 2,9.26621133840987e-22,0.0441654762898769,3,3,-0.655183121553005,TRUE,TRUE,0,,,,1.19389331298251,0.15370658718226,1.1610085706368,0.044900761480712,age+stage
CRC,JAK_STAT,3,FALSE,0,-0.0508655811630436,3,-0.0556158126152759,-0.095533767314816,-0.0156978579157358,0.0267169174948488,0.0454187597412429,0,SMCRPH 1|SMDH 2,0.666184264618094,0.740142805590106,3,2,0.654439428662535,TRUE,TRUE,1,malignant cell vs BEST4+ colonocyte,cell-identity,,1.07581006943819,0.655122277098967,0.963921457739048,0.648418466940708,age+stage
CRC,PDGFR_KIT_CSF1R,3,TRUE,2,-1.06919679692872,3,-1.08426207990351,-1.30411047573193,-0.864413684075091,0.00221340915050818,0.0232608663185879,0,SMCRPH 1|SMDH 2,1.24101887834248e-25,0.0441654762898769,3,1,-0.300939823581263,FALSE,FALSE,0,,,,0.973661594923377,0.916204659682388,1.09020975492675,0.27178667320555,age+stage
CRC,PI3K_AKT,3,FALSE,0,-0.052317484779079,3,-0.0455152757155661,-0.413882374611279,0.322851823180147,0.648120112570413,0.734536127579801,0,SMCRPH 1|SMDH 2,0.739600275635565,0.773211670647324,3,0,-0.154070590965714,FALSE,FALSE,0,,,,1.02790977517841,0.916204659682388,0.874685567363472,0.0976671846083745,age+stage
CRC,RAS_MAPK,3,FALSE,1,-0.305874800073809,3,-0.363393277878321,-1.38018529087203,0.653398735115383,0.26394946305419,0.320510062280088,80.4202214479813,SMCRPH 1|SMDH 2,0.117763827917944,0.34516468245548,3,1,-0.279629596356671,FALSE,FALSE,0,,,,0.955878234890268,0.821277944945558,1.08685719376915,0.270620339832729,age+stage
CRC,RET_ALK_NTRK,3,TRUE,2,-1.08095219025095,3,-1.16660783866946,-2.07956763686413,-0.253648040474791,0.0315251911586168,0.0487207499724078,70.1898875870925,SMCRPH 1|SMDH 2,8.3463461873434e-09,0.0669910312120608,3,2,-0.773654354417228,TRUE,TRUE,0,,,,1.18391854368766,0.180057700083752,1.03930942210587,0.610243121437175,age+stage
CRC,SRC_FAK,3,TRUE,2,-0.2980588060605,3,-0.528999894308436,-1.16738129144117,0.109381502824297,0.070452204959782,0.0921298064858688,54.8967143628871,SMCRPH 1|SMDH 2,0.000790600080211562,0.113549818146699,3,1,-0.301416654449285,FALSE,FALSE,0,,,,1.01937657634457,0.938599045499954,1.03003865136167,0.703381801199199,age+stage
CRC,TAM_AXL_AXIS,3,FALSE,0,-0.0232177447266005,3,-0.024029804346515,-0.439778459772995,0.391718851079965,0.826808103322203,0.826808103322203,0.00373636564137714,SMCRPH 1|SMDH 2,0.813754761843918,0.835672760947992,3,2,0.519014623413623,TRUE,TRUE,0,,,,1.1509078130076,0.273903532004198,1.11724651877064,0.131634456926402,age+stage
