"accession","disease","role","feature","smd","p_value","fdr"
"GSE27342","STAD","discovery","IGF_INSR_AXIS",-0.0124671588906042,0.911495038140212,0.911495038140212
"GSE27342","STAD","discovery","JAK_STAT",0.373272740571609,0.0012862845365751,0.00686018419506718
"GSE27342","STAD","discovery","PDGFR_KIT_CSF1R",-0.111215764361653,0.322897922192601,0.369026196791544
"GSE27342","STAD","discovery","PI3K_AKT",0.323597553821851,0.004909836525636,0.0157114768820352
"GSE27342","STAD","discovery","RAS_MAPK",0.172952827576806,0.125875245977803,0.161141990143127
"GSE27342","STAD","discovery","RET_ALK_NTRK",-0.74889193797585,2.80404070786169e-09,2.24323256628935e-08
"GSE27342","STAD","discovery","SRC_FAK",0.213675803837991,0.0596092804270261,0.136249783833202
"GSE27342","STAD","discovery","TGFB_SMAD",0.251681252781175,0.0271577352998208,0.0724206274661888
"GSE27342","STAD","discovery","TIE_ANGPT_AXIS",-0.170646045920366,0.130927866991291,0.161141990143127
"GSE27342","STAD","discovery","VEGF_PDGF_AXIS",0.173146639607467,0.125457879675666,0.161141990143127
"GSE27342","STAD","discovery","WNT_CTNNB1",0.175876818040149,0.119694604482284,0.161141990143127
"GSE63089","STAD","validation","EPH_RECEPTORS",1.26558024452372,8.07679236414863e-11,9.20413689906498e-10
"GSE63089","STAD","validation","ERBB_LIGANDS",-0.0874624191989337,0.560393041419835,0.560393041419835
"GSE63089","STAD","validation","ERBB_RECEPTORS",-0.390141877991487,0.012108725525076,0.0176126916728378
"GSE63089","STAD","validation","FGFR_AXIS",-0.311949472444777,0.0421837254848625,0.0562449673131499
"GSE63089","STAD","validation","HGF_MET_AXIS",0.938625382111194,1.23630050800046e-07,4.94520203200184e-07
"GSE63089","STAD","validation","IGF_INSR_AXIS",-0.163319989253452,0.279221706477522,0.297836486909356
"GSE63089","STAD","validation","JAK_STAT",0.845376478672229,1.02527573301174e-06,2.73406862136465e-06
"GSE63089","STAD","validation","PDGFR_KIT_CSF1R",-0.209187592390311,0.167553407760632,0.206219578782317
"GSE63089","STAD","validation","PI3K_AKT",0.770646987595979,5.49516253412469e-06,1.25603715065707e-05
"GSE63089","STAD","validation","RAS_MAPK",1.10281734752013,2.99716004328922e-09,1.59848535642092e-08
"GSE63089","STAD","validation","RET_ALK_NTRK",-1.24942832559593,1.15051711238312e-10,9.20413689906498e-10
"GSE63089","STAD","validation","SRC_FAK",0.892019752671822,3.56421738307923e-07,1.14054956258535e-06
"GSE63089","STAD","validation","TGFB_SMAD",0.605903759813,0.000195637560120296,0.000391275120240593
"GSE63089","STAD","validation","TIE_ANGPT_AXIS",-0.183061011426239,0.225971774505775,0.258253456578029
"GSE63089","STAD","validation","VEGF_PDGF_AXIS",0.392559706083191,0.0116216470013318,0.0176126916728378
"GSE63089","STAD","validation","WNT_CTNNB1",0.501718560722372,0.00159300295897915,0.00283200526040737
"GSE13911","STAD","validation","EPH_RECEPTORS",1.44831836894683,5.40221965066153e-08,9.18377340612461e-07
"GSE13911","STAD","validation","ERBB_LIGANDS",-0.745349337656294,0.0025707326330604,0.00728374246033779
"GSE13911","STAD","validation","ERBB_RECEPTORS",-0.72811955974433,0.00343120395005297,0.00833292387870007
"GSE13911","STAD","validation","FGFR_AXIS",-0.343379444600081,0.146545874637658,0.191636912987707
"GSE13911","STAD","validation","HGF_MET_AXIS",0.587584699887859,0.0155967138461007,0.0321722895227841
"GSE13911","STAD","validation","IGF_INSR_AXIS",-0.285735917082003,0.232182670800979,0.281936100258331
"GSE13911","STAD","validation","JAK_STAT",0.893122448724744,0.000445888798932508,0.00189502739546316
"GSE13911","STAD","validation","PDGFR_KIT_CSF1R",-1.25950167892456,2.32269190856802e-06,1.35392285845669e-05
"GSE13911","STAD","validation","PI3K_AKT",0.490457235430554,0.045548436199718,0.0703930377632006
"GSE13911","STAD","validation","RAS_MAPK",0.845985004227816,0.000700701211669744,0.00238238411967713
"GSE13911","STAD","validation","RET_ALK_NTRK",-0.603751788597891,0.0170323885708857,0.0321722895227841
"GSE13911","STAD","validation","SRC_FAK",-0.103731100337452,0.665396219926689,0.706983483672107
"GSE13911","STAD","validation","TAM_AXL_AXIS",-0.395130482421744,0.1036930146458,0.146898437414884
"GSE13911","STAD","validation","TGFB_SMAD",0.258706478473778,0.295045563775841,0.334384972279287
"GSE13911","STAD","validation","TIE_ANGPT_AXIS",-0.0511548326091119,0.835166933026351,0.835166933026351
"GSE13911","STAD","validation","VEGF_PDGF_AXIS",0.530506816137485,0.0302404192427353,0.05140871271265
"GSE13911","STAD","validation","WNT_CTNNB1",1.21404931858476,2.38927563257064e-06,1.35392285845669e-05
"GSE15471","PAAD","discovery","EPH_RECEPTORS",-0.0425996948625979,0.799757312252679,0.937632278731208
"GSE15471","PAAD","discovery","ERBB_LIGANDS",0.0366292958526012,0.827322598880478,0.937632278731208
"GSE15471","PAAD","discovery","ERBB_RECEPTORS",0.00362533267999643,0.982769325788931,0.982769325788931
"GSE15471","PAAD","discovery","FGFR_AXIS",0.387561754182282,0.0259736303841981,0.0441551716531367
"GSE15471","PAAD","discovery","HGF_MET_AXIS",0.598548132023472,0.00099960292082502,0.00300564637804364
"GSE15471","PAAD","discovery","IGF_INSR_AXIS",0.326427387657843,0.0581705853626779,0.0824083292637937
"GSE15471","PAAD","discovery","JAK_STAT",0.822399952811303,1.95555853370756e-05,0.000332444950730285
"GSE15471","PAAD","discovery","PDGFR_KIT_CSF1R",0.78168889614324,4.07571226355313e-05,0.000346435542402016
"GSE15471","PAAD","discovery","PI3K_AKT",0.317421173410918,0.0650866182954584,0.0851132700786764
"GSE15471","PAAD","discovery","RAS_MAPK",0.461499312176368,0.00893233839502855,0.016872194746165
"GSE15471","PAAD","discovery","RET_ALK_NTRK",-0.50317755384695,0.00470893585528651,0.0100064886924838
"GSE15471","PAAD","discovery","SRC_FAK",0.00857591106677205,0.959255141015831,0.982769325788931
"GSE15471","PAAD","discovery","TAM_AXL_AXIS",0.363116500702066,0.0361752010909923,0.0559071289588062
"GSE15471","PAAD","discovery","TGFB_SMAD",0.636265420261176,0.00052734594634729,0.00298829369596798
"GSE15471","PAAD","discovery","TIE_ANGPT_AXIS",0.601563713165013,0.000950239216617777,0.00300564637804364
"GSE15471","PAAD","discovery","VEGF_PDGF_AXIS",0.552944023067106,0.00212547610571263,0.00516187054244495
"GSE15471","PAAD","discovery","WNT_CTNNB1",0.595002269979113,0.00106081636872128,0.00300564637804364
"GSE28735","PAAD","validation","EPH_RECEPTORS",0.0167077526994245,0.911270516975994,0.985244380999645
"GSE28735","PAAD","validation","ERBB_LIGANDS",-0.128054348960551,0.394988267938564,0.948153190030979
"GSE28735","PAAD","validation","ERBB_RECEPTORS",-0.169769182096922,0.260929895850973,0.948153190030979
"GSE28735","PAAD","validation","FGFR_AXIS",0.0218855200625377,0.88395062279664,0.985244380999645
"GSE28735","PAAD","validation","HGF_MET_AXIS",0.110240141849981,0.463522698238496,0.948153190030979
"GSE28735","PAAD","validation","IGF_INSR_AXIS",-0.130321611589295,0.386743147223265,0.948153190030979
"GSE28735","PAAD","validation","JAK_STAT",0.14391775838773,0.339606182357194,0.948153190030979
"GSE28735","PAAD","validation","PDGFR_KIT_CSF1R",-0.00277270773597087,0.985244380999645,0.985244380999645
"GSE28735","PAAD","validation","PI3K_AKT",-0.136081842086932,0.366288659241185,0.948153190030979
"GSE28735","PAAD","validation","RAS_MAPK",0.0980178760406233,0.514269325289702,0.948153190030979
"GSE28735","PAAD","validation","SRC_FAK",-0.0224478816377331,0.880991349816541,0.985244380999645
"GSE28735","PAAD","validation","TAM_AXL_AXIS",-0.0803511321120988,0.592595743769362,0.948153190030979
"GSE28735","PAAD","validation","TGFB_SMAD",0.0917004430554108,0.541627432612863,0.948153190030979
"GSE28735","PAAD","validation","TIE_ANGPT_AXIS",-0.00524743371494851,0.972078792845617,0.985244380999645
"GSE28735","PAAD","validation","VEGF_PDGF_AXIS",-0.00591867447004863,0.968508980499938,0.985244380999645
"GSE28735","PAAD","validation","WNT_CTNNB1",0.133110677137766,0.376750639511725,0.948153190030979
"GSE62452","PAAD","validation","EPH_RECEPTORS",0.0278665424522665,0.85757456592344,0.971080404200649
"GSE62452","PAAD","validation","ERBB_LIGANDS",-0.115761889366608,0.457404406659777,0.917432670691884
"GSE62452","PAAD","validation","ERBB_RECEPTORS",-0.182260430880584,0.244336756465878,0.917432670691884
"GSE62452","PAAD","validation","FGFR_AXIS",0.065064469249585,0.675471564003643,0.971080404200649
"GSE62452","PAAD","validation","HGF_MET_AXIS",0.12561073907443,0.420318907687448,0.917432670691884
"GSE62452","PAAD","validation","IGF_INSR_AXIS",-0.180631589406338,0.248508190784835,0.917432670691884
"GSE62452","PAAD","validation","JAK_STAT",0.153256253857889,0.32643147241858,0.917432670691884
"GSE62452","PAAD","validation","PDGFR_KIT_CSF1R",-0.0298327753803292,0.847648519092659,0.971080404200649
"GSE62452","PAAD","validation","PI3K_AKT",-0.183120040626799,0.242155968314418,0.917432670691884
"GSE62452","PAAD","validation","RAS_MAPK",0.110024460527537,0.4798599310999,0.917432670691884
"GSE62452","PAAD","validation","SRC_FAK",0.0056282583778445,0.971080404200649,0.971080404200649
"GSE62452","PAAD","validation","TAM_AXL_AXIS",-0.10108566792873,0.516055877264185,0.917432670691884
"GSE62452","PAAD","validation","TGFB_SMAD",0.0669752241499658,0.666528440859257,0.971080404200649
"GSE62452","PAAD","validation","TIE_ANGPT_AXIS",-0.0450281444084842,0.771898993491203,0.971080404200649
"GSE62452","PAAD","validation","VEGF_PDGF_AXIS",-0.00684740181000817,0.964819933881107,0.971080404200649
"GSE62452","PAAD","validation","WNT_CTNNB1",0.126866360431987,0.415725958304793,0.917432670691884
"GSE57957","HCC","discovery","EPH_RECEPTORS",-0.138082947102876,0.406493703804588,0.531568689590616
"GSE57957","HCC","discovery","ERBB_LIGANDS",0.171376260042882,0.304157420370618,0.531568689590616
"GSE57957","HCC","discovery","ERBB_RECEPTORS",-0.419870436032842,0.0150275886657267,0.255469007317353
"GSE57957","HCC","discovery","FGFR_AXIS",0.151215824528556,0.363794673725274,0.531568689590616
"GSE57957","HCC","discovery","HGF_MET_AXIS",-0.191027257809046,0.252892190562933,0.531568689590616
"GSE57957","HCC","discovery","IGF_INSR_AXIS",-0.357045608436746,0.0365361094373387,0.310556930217379
"GSE57957","HCC","discovery","JAK_STAT",0.146912633934995,0.377452842867185,0.531568689590616
"GSE57957","HCC","discovery","PDGFR_KIT_CSF1R",0.114229879368527,0.491620373695887,0.59696759663072
"GSE57957","HCC","discovery","PI3K_AKT",-0.0429783516889315,0.795253062117462,0.795253062117462
"GSE57957","HCC","discovery","RAS_MAPK",0.250554434199923,0.136230458410475,0.38598629882968
"GSE57957","HCC","discovery","RET_ALK_NTRK",-0.262372357441192,0.119242685397085,0.38598629882968
"GSE57957","HCC","discovery","SRC_FAK",-0.191984947560197,0.250564241167638,0.531568689590616
"GSE57957","HCC","discovery","TAM_AXL_AXIS",0.141753736595006,0.394255239906171,0.531568689590616
"GSE57957","HCC","discovery","TGFB_SMAD",0.31646200213808,0.062163847574322,0.352261802921158
"GSE57957","HCC","discovery","TIE_ANGPT_AXIS",0.069610200326696,0.674506239932638,0.716662879928428
"GSE57957","HCC","discovery","VEGF_PDGF_AXIS",0.258830784273316,0.124142037590618,0.38598629882968
"GSE57957","HCC","discovery","WNT_CTNNB1",0.0797945490804895,0.630353884948671,0.714401069608494
"GSE62232","HCC","validation","EPH_RECEPTORS",-0.415835558057812,0.401252001858575,0.426330251974736
"GSE62232","HCC","validation","ERBB_LIGANDS",-1.06972617866715,0.0194223620930833,0.0471685936546308
"GSE62232","HCC","validation","ERBB_RECEPTORS",-0.312945405527106,0.386260738643651,0.426330251974736
"GSE62232","HCC","validation","FGFR_AXIS",-1.20528626238284,6.1674427531987e-07,1.04846526804378e-05
"GSE62232","HCC","validation","HGF_MET_AXIS",-0.541737165436661,0.0364432698318967,0.0774419483927804
"GSE62232","HCC","validation","IGF_INSR_AXIS",-1.11034528642218,0.00299635629604603,0.010700655433527
"GSE62232","HCC","validation","JAK_STAT",1.28344008618898,1.1242224058712e-05,9.55589044990524e-05
"GSE62232","HCC","validation","PDGFR_KIT_CSF1R",-0.506746949367703,0.336906764880059,0.409101071640072
"GSE62232","HCC","validation","PI3K_AKT",0.940320809066422,0.00314725159809619,0.010700655433527
"GSE62232","HCC","validation","RAS_MAPK",0.0629132940493163,0.769638638138265,0.769638638138265
"GSE62232","HCC","validation","RET_ALK_NTRK",-0.543595515641706,0.0951896069321366,0.161822331784632
"GSE62232","HCC","validation","SRC_FAK",-0.801401528587388,0.0174343881853624,0.0471685936546308
"GSE62232","HCC","validation","TAM_AXL_AXIS",-0.856955165651373,0.128809532856092,0.192110793090741
"GSE62232","HCC","validation","TGFB_SMAD",0.782571711775733,0.000537444834165509,0.00304552072693788
"GSE62232","HCC","validation","TIE_ANGPT_AXIS",-1.03292506844325,0.146908253539979,0.192110793090741
"GSE62232","HCC","validation","VEGF_PDGF_AXIS",-0.879986275022379,0.136085192101236,0.192110793090741
"GSE62232","HCC","validation","WNT_CTNNB1",0.509615446886957,0.0684962893121403,0.12938187981182
"GSE23400","ESCC","discovery","EPH_RECEPTORS",-0.270463051805852,0.0542927066717741,0.06592685810144
