"accession","disease","sample","epic_cancer","epic_caf","epic_endo","epic_immune"
"GSE75214","IBD","GSM1426091",0.759433717888033,0.0107770819980638,0.0857678782102493,0.144021321903654
"GSE75214","IBD","GSM1426092",0.769758130986946,0.00771059237141322,0.0773692112414272,0.145162065400214
"GSE75214","IBD","GSM1426093",0.704563864265596,0.0208420942892487,0.101799086301189,0.172794955143966
"GSE75214","IBD","GSM1426094",0.237559039835502,0.100044184496802,0.294715709420962,0.367681066246734
"GSE75214","IBD","GSM1426095",0.396115858725208,0.0908231303418546,0.167593447859188,0.345467563073749
"GSE75214","IBD","GSM1426096",0.65401418051308,0.0143531323644569,0.0878993333998804,0.243733353722582
"GSE75214","IBD","GSM1426097",0.552049484567083,0.0166208804694148,0.0977488976400887,0.333580737323414
"GSE75214","IBD","GSM1426098",0.603878558784712,0.013869109847452,0.139172593534738,0.243079737833098
"GSE75214","IBD","GSM1426099",0.66100400435266,0.0110604247874559,0.0730242568066995,0.254911314053184
"GSE75214","IBD","GSM1426100",0.413574587306095,0.0298266878038272,0.0972828185370288,0.459315906353049
"GSE75214","IBD","GSM1426101",0.537954722004982,0.0193848472006983,0.150840570991769,0.291819859802551
"GSE75214","IBD","GSM1426102",0.699040295041352,0.00881441603436726,0.0726428248946327,0.219502464029648
"GSE75214","IBD","GSM1426103",0.658477048334201,0.0160478752768679,0.078099206694529,0.247375869694402
"GSE75214","IBD","GSM1426104",0.610000577833298,0.0237599828970125,0.0784103760207508,0.287829063248938
"GSE75214","IBD","GSM1426105",0.484405126149439,0.0237322511893159,0.103810212495015,0.38805241016623
"GSE75214","IBD","GSM1426106",0.767874739298582,0.0125170920375308,0.0669497789542703,0.152658389709617
"GSE75214","IBD","GSM1426107",0.619109726245768,0.0150193832671611,0.082702075026623,0.283168815460448
"GSE75214","IBD","GSM1426108",0.712732951247307,0.0113986872520695,0.0861391039318826,0.189729257568741
"GSE75214","IBD","GSM1426109",0.673105012310779,0.0195957720420815,0.0962468240659916,0.211052391581148
"GSE75214","IBD","GSM1426110",0.780510365783397,0.0096869981084186,0.0665285116809789,0.143274124427205
"GSE75214","IBD","GSM1426111",0.694316253510384,0.011415967093271,0.0951502556420166,0.199117523754328
"GSE75214","IBD","GSM1426112",0.696814845552092,0.0118972423719562,0.0973248161526171,0.193963095923335
