"accession","disease","role","feature","paired","n_case","n_control","npair","r_emp","measure","yi","vi","beta_base","se_base","p_base","beta_adj","se_adj","p_adj","d_base","d_adj","sd_ref","sigma_adj","joint_fallback","rank_adj","mean_case","sd_case","mean_ctrl","sd_ctrl"
"GSE44076","CRC","discovery","ERBB_LIGANDS",TRUE,98,98,98,0.157847583861282,"SMCRPH",-0.519785445807262,0.0180796747528418,-0.209173543225723,0.052549783237578,0.000132818384796495,-0.254232260725789,0.0684109640111734,0.00034509457975077,-0.506083511218773,-0.615100519831762,0.413318234221823,0.342596899683474,FALSE,TRUE,-0.0729916470368683,0.406721298144243,0.136181896188856,0.394842431745265
"GSE44076","CRC","discovery","ERBB_RECEPTORS",TRUE,98,98,98,-0.140759424876472,"SMCRPH",-0.929052369866151,0.0257952306568243,-0.403914849879961,0.0660577730239753,2.02987950038568e-08,-0.491900444857782,0.0772773303787823,7.28391799158516e-09,-0.846722446959089,-1.03116572330536,0.477033355299103,0.386998987461458,FALSE,TRUE,-0.18907457466724,0.413317232217644,0.214840275212722,0.451909205027114
"GSE44076","CRC","discovery","FGFR_AXIS",TRUE,98,98,98,0.0333023046673216,"SMCRPH",-1.95011807509056,0.0300234110208545,-0.562815712950538,0.040389612033178,6.9217252342808e-25,-0.478988077336984,0.0462834817129807,3.75529840589356e-17,-1.39909748787404,-1.19071127600641,0.402270547855638,0.2317841528857,FALSE,TRUE,-0.26368243776286,0.310427868137457,0.29913327518768,0.262549871706487
"GSE44076","CRC","discovery","HGF_MET_AXIS",TRUE,98,98,98,0.169120118678667,"SMCRPH",1.0158093998712,0.0199877087920887,0.382963940178719,0.048966775555801,6.4331593718256e-12,0.343706123163556,0.0682107366929774,2.29456214777027e-06,0.909932344913746,0.816654744218151,0.420870784865902,0.341594176517131,FALSE,TRUE,0.188035003755177,0.342769208309899,-0.194928936423543,0.405602186935345
"GSE44076","CRC","discovery","IGF_INSR_AXIS",TRUE,98,98,98,0.0854844964729363,"SMCRPH",-1.07089717496386,0.0218860383155633,-0.410254373411044,0.052149050032837,5.13951580823402e-12,-0.283448843494962,0.0630961401098485,2.02261556502131e-05,-0.948290131256075,-0.655183121553005,0.432625374754912,0.315980666199903,FALSE,TRUE,-0.154716440483585,0.403397863685347,0.25553793292746,0.35847905191788
"GSE44076","CRC","discovery","JAK_STAT",TRUE,98,98,98,0.11729205909479,"SMCRPH",-0.0673339948573909,0.0182200395453118,-0.0254446458755764,0.0505311709583258,0.61572379975432,0.193849258453721,0.0598269318116107,0.00165785630164787,-0.0677342554305226,0.516031358869297,0.375654027845273,0.299608719925139,FALSE,TRUE,-0.026657953013274,0.391358320584173,-0.00121330713769748,0.360830034097152
"GSE44076","CRC","discovery","PDGFR_KIT_CSF1R",TRUE,98,98,98,-0.0463051712014465,"SMCRPH",-1.00508961017507,0.0242188046947042,-0.436637954825643,0.0632232416662025,5.20086033907345e-10,-0.11128879572955,0.0569114447048069,0.053528979341969,-0.902228748435335,-0.229956992460819,0.483954823632997,0.2850081824485,FALSE,TRUE,-0.19898021082,0.460192058681656,0.237657744005643,0.403426912299829
"GSE44076","CRC","discovery","PI3K_AKT",TRUE,98,98,98,-0.115032477873746,"SMCRPH",-0.129767814107087,0.022979686868269,-0.0370600740628844,0.0428589914341403,0.389338091862346,-0.0793644667963406,0.0576622583429351,0.172012795826929,-0.130335184102971,-0.279113915789356,0.284344356575314,0.288768199989267,FALSE,TRUE,-0.0240670583497727,0.313855561988403,0.0129930157131124,0.251670083795786
"GSE44076","CRC","discovery","RAS_MAPK",TRUE,98,98,98,0.00447221893617348,"SMCRPH",-0.745808347208095,0.0219643902341292,-0.219889711658069,0.0418622902828748,8.86934332805376e-07,-0.276809504391727,0.0564723433413188,4.01203657902939e-06,-0.702545214124401,-0.884403326868516,0.312990121115725,0.282809196248668,FALSE,TRUE,-0.0945148353868331,0.301622895012532,0.125374876271237,0.285541958154668
"GSE44076","CRC","discovery","RET_ALK_NTRK",TRUE,98,98,98,0.0374999766982581,"SMCRPH",-1.49401223502996,0.0256343618032324,-0.497342906618387,0.0464768198969948,4.14031238749323e-18,-0.478814786419782,0.0651340800948944,7.49887016628472e-11,-1.20077437828192,-1.15604046991378,0.414185142199644,0.326186514497899,FALSE,TRUE,-0.248580735791157,0.320169852861877,0.248762170827231,0.342649231664714
