"disease","feature","k","est_REML","se_REML","p_REML_KHNA","ci_lo","ci_hi","I2","tau2","est_DL","p_DL","cohorts","n_case","n_control","fdr"
"Asthma","JAK_STAT",3,-0.173901465847764,0.106697433656232,0.244694436631696,-0.632983470026013,0.285180538330485,0,0,-0.173901465847764,0.18447873743564,"GSE4302;GSE43696;GSE67472",192,91,0.377647209113883
"COPD","JAK_STAT",2,0.283539793410111,0.0547846964012264,0.121508419016033,-0.412565775473046,0.979645362293268,0,0,0.283539793410111,0.00912558177244574,"GSE76925;GSE47460",256,131,0.414562771060886
"CRC","JAK_STAT",3,-0.000495117685821221,0.00339024364075412,0.897279030952169,-0.0150821587412277,0.0140919233695853,0,0,-0.000495117685821221,0.972337398075109,"GSE44076;GSE41258;GSE23878",315,175,0.981880820206615
"ESCC","JAK_STAT",2,0,0,NA,0,0,0,0,0,1,"GSE23400;GSE20347",70,70,NA
"HCC","JAK_STAT",2,0.395549849925838,0.491882640252255,0.568836968591125,-5.85441168328948,6.64551138314116,78.4328758024931,0.397852660002326,0.395549849925838,0.421307504510766,"GSE57957;GSE62232",118,42,0.967554853911512
"IBD","JAK_STAT",3,1.77601103696718,0.192083277525449,0.0114960371492517,0.949543398583085,2.60247867535128,21.9708208781318,0.0227221948627734,1.77490970917743,1.07987257867674e-20,"GSE75214;GSE87473;GSE179285",202,75,0.0390865263074557
"LUAD","JAK_STAT",3,0,0,NA,0,0,0,0,0,1,"GSE32863;GSE19804;GSE10072",150,150,NA
"NAFLD","JAK_STAT",2,-0.0293724089790391,0.340204956084271,0.945171871085107,-4.35208623324711,4.29334141528903,63.0048133491823,0.147395071936398,-0.0293724089790391,0.931198214158405,"GSE33814;GSE66676",62,47,0.945171871085107
"PAAD","JAK_STAT",3,0,0,NA,0,0,0,0,0,1,"GSE15471;GSE28735;GSE62452",123,123,NA
"STAD","JAK_STAT",3,0.205728509653698,0.246774705775576,0.492174993922437,-0.856057351784704,1.2675143710921,99.5111144962015,0.142823169009799,0.0187268562652781,0.634262360748807,"GSE27342;GSE63089;GSE13911",163,156,0.949167159128074
"Asthma","PDGFR_KIT_CSF1R",3,0.351667304584981,0.111461976843996,0.0874781573487827,-0.12791487434611,0.831249483516072,0,0,0.351667304584981,0.00766307985526533,"GSE4302;GSE43696;GSE67472",192,91,0.247854779154884
"COPD","PDGFR_KIT_CSF1R",2,0.37058626371144,0.238181616178935,0.363661025523047,-2.65579811585109,3.39697064327397,76.8893164924956,0.0876404744686279,0.37058626371144,0.119732385550451,"GSE76925;GSE47460",256,131,0.606101709205078
"CRC","PDGFR_KIT_CSF1R",3,-0.68427842310485,0.364469048611439,0.201250218535679,-2.25246217002205,0.883905323812347,94.9757151106746,0.38265117620238,-0.693280164101891,0.116733317237903,"GSE44076;GSE41258;GSE23878",315,175,0.451122820007588
"ESCC","PDGFR_KIT_CSF1R",2,0,0,NA,0,0,0,0,0,1,"GSE23400;GSE20347",70,70,NA
"HCC","PDGFR_KIT_CSF1R",2,7.67916492777251e-05,0.00150133327683976,0.967465907296146,-0.0189994563434803,0.0191530396420358,0,0,7.67916492777251e-05,0.9973971034885,"GSE57957;GSE62232",118,42,0.967554853911512
"IBD","PDGFR_KIT_CSF1R",3,1.33850580902006,0.208047728255056,0.0233176731264843,0.44334868312527,2.23366293491486,41.583434888899,0.0519446105301909,1.33830456799994,6.93032250624484e-11,"GSE75214;GSE87473;GSE179285",202,75,0.0566286347357475
"LUAD","PDGFR_KIT_CSF1R",3,0,0,NA,0,0,0,0,0,1,"GSE32863;GSE19804;GSE10072",150,150,NA
