"accession","disease","role","feature","n_case","n_control","paired","npair","r_emp","effect_scale","yi","vi","mean_case","sd_case","mean_ctrl","sd_ctrl","beta_adj","se_beta_adj","p_adj","d_adj","se_d_adj","beta_unadj","d_unadj_same_den","sigma_full","joint_fallback","rank_full"
"GSE43696","Asthma","validation","FGFR_AXIS",88,20,FALSE,NA,NA,"SMD",-0.045650708028801,0.0613732844522638,-0.000492558024928852,0.317463548785446,0.0139188385883731,0.294365374965111,-0.0437117187948473,0.0795448425731426,0.583847756386854,-0.141253597688901,0.257047663666298,-0.014411396613302,-0.0465701572821821,0.309455613945625,FALSE,TRUE
"GSE43696","Asthma","validation","HGF_MET_AXIS",88,20,FALSE,NA,NA,"SMD",-0.0229863008127288,0.0613660825211598,-0.000369103312428893,0.412266073602169,0.00902796954233724,0.375442124702828,-0.0269496163147354,0.0950708226918807,0.777392014170611,-0.0728650043647669,0.257047663666298,-0.00939707285476628,-0.0254073284970736,0.369856785842266,FALSE,TRUE
"GSE43696","Asthma","validation","IGF_INSR_AXIS",88,20,FALSE,NA,NA,"SMD",-0.37039807879056,0.061998797182024,-0.0131919669101128,0.39226537324412,0.132893396937694,0.388553927586983,-0.128457498456354,0.0997649023364177,0.200798323018204,-0.330975113344741,0.257047663666298,-0.146085363847807,-0.376393908012803,0.38811830037068,FALSE,TRUE
"GSE43696","Asthma","validation","JAK_STAT",88,20,FALSE,NA,NA,"SMD",-0.409347064722156,0.0621394003423245,-0.0382997524226795,0.381316359630256,0.121613480902961,0.416629916184152,-0.145284142636489,0.0853765252080544,0.0918603228025912,-0.437414726606226,0.257047663666298,-0.159913233325641,-0.481459311157367,0.332142778464975,FALSE,TRUE
"GSE43696","Asthma","validation","PDGFR_KIT_CSF1R",88,20,FALSE,NA,NA,"SMD",0.237048942370992,0.0616237854427068,0.012487266439598,0.406326123102789,-0.0819205597044828,0.3411677351436,0.124231294004692,0.0895157924986257,0.168217824610623,0.356734415088124,0.257047663666298,0.0944078261440808,0.271095305809001,0.34824589036077,FALSE,TRUE
"GSE43696","Asthma","validation","PI3K_AKT",88,20,FALSE,NA,NA,"SMD",0.220002216537995,0.0615877149529032,0.021268359869212,0.311445391536086,-0.0499649690116141,0.363946916020782,0.0546432239977712,0.0807924451372515,0.50035509551347,0.173851813000087,0.257047663666298,0.0712333288808261,0.226634566299899,0.314309198476658,FALSE,TRUE
"GSE43696","Asthma","validation","RAS_MAPK",88,20,FALSE,NA,NA,"SMD",0.174191204665573,0.0615041112515199,0.000710500015476894,0.306045294415541,-0.0556559976844301,0.38344794006757,0.0231162172703824,0.0808793800351164,0.775602503608285,0.0734670522891548,0.257047663666298,0.0563664976999072,0.179141785415789,0.314647403837582,FALSE,TRUE
"GSE43696","Asthma","validation","RET_ALK_NTRK",88,20,FALSE,NA,NA,"SMD",0.553605455291022,0.0627825206234881,0.0545874194624359,0.304108601325543,-0.109101843346482,0.239535085713527,0.1569188637952,0.0732752688804376,0.0346152560503355,0.550467134955741,0.257047663666298,0.163689262808918,0.574217511790311,0.285064909111815,FALSE,TRUE
"GSE43696","Asthma","validation","SRC_FAK",88,20,FALSE,NA,NA,"SMD",-0.137987559787797,0.0614517871351928,-0.0274699041583164,0.408154411949169,0.0300565790798877,0.439451039241337,-0.0839933433768975,0.102819193827786,0.415887583477432,-0.209983096295373,0.257047663666298,-0.0575264832382041,-0.143816028552859,0.400000499367569,FALSE,TRUE
"GSE43696","Asthma","validation","TAM_AXL_AXIS",88,20,FALSE,NA,NA,"SMD",0.249451444555535,0.0616517198043347,0.0180701613377797,0.440249577849659,-0.095275860567696,0.49806108980294,0.103158465172401,0.110814583848543,0.35409792331132,0.239288381899342,0.257047663666298,0.113346021905476,0.262919636611121,0.431105197643048,FALSE,TRUE
"GSE43696","Asthma","validation","TGFB_SMAD",88,20,FALSE,NA,NA,"SMD",-0.502129201207956,0.0625309221724592,-0.0247694172492958,0.388887011901049,0.173847169993307,0.409932877040423,-0.158411423457404,0.100771036689931,0.119048970495589,-0.404077278901774,0.257047663666298,-0.198616587242603,-0.506632971070603,0.392032494100991,FALSE,TRUE
"GSE43696","Asthma","validation","TIE_ANGPT_AXIS",88,20,FALSE,NA,NA,"SMD",0.278472650101396,0.0617226503305553,0.0584861743436778,0.476265734379638,-0.075962371088416,0.493397104266695,0.159821275507377,0.11920611249102,0.182991713262027,0.344627340115917,0.257047663666298,0.134448545432094,0.289915372328373,0.463751005516916,FALSE,TRUE
"GSE43696","Asthma","validation","VEGF_PDGF_AXIS",88,20,FALSE,NA,NA,"SMD",-0.000849106898475908,0.0613636397015184,-0.0136269629611143,0.319344601958741,-0.0133541819862799,0.317288481328617,-0.0209950731526719,0.0804095407485853,0.794540484313965,-0.0671155991211436,0.257047663666298,-0.000272780974834819,-0.000872007371527477,0.312819574399921,FALSE,TRUE
"GSE43696","Asthma","validation","WNT_CTNNB1",88,20,FALSE,NA,NA,"SMD",-0.710616931260636,0.0637014901737951,-0.0337000909020431,0.434110602919416,0.272913461235908,0.401297048862008,-0.252075019127367,0.0999808581994582,0.0132426239847595,-0.64807700096015,0.257047663666298,-0.306613552137952,-0.788293865894343,0.388958439743901,FALSE,TRUE
"GSE67472","Asthma","validation","EPH_RECEPTORS",62,43,FALSE,NA,NA,"SMD",0.0270939003295014,0.0393883418279103,0.0102900892032772,0.447640134010038,-0.00156600459926256,0.4144107562694,-0.0237229748590534,0.0874151095600085,0.786661554813802,-0.057155839986654,0.210609505937277,0.0118560938025399,0.0285649251103987,0.415057759007527,FALSE,TRUE
"GSE67472","Asthma","validation","ERBB_LIGANDS",62,43,FALSE,NA,NA,"SMD",-0.28762794001224,0.0397787977919133,-0.0128275854757294,0.349340034663394,0.0932399900132201,0.389097999254826,-0.0727316522068885,0.0733762479869015,0.323997002961707,-0.208759343214565,0.210609505937277,-0.10606757548895,-0.30444238132318,0.348399506757089,FALSE,TRUE
"GSE67472","Asthma","validation","ERBB_RECEPTORS",62,43,FALSE,NA,NA,"SMD",-0.53128488161651,0.0407289587136208,-0.0963906682116158,0.440471221791674,0.137077453349614,0.429999748944387,-0.155245698677637,0.0860724838967778,0.0743257197483002,-0.379868436660842,0.210609505937277,-0.23346812156123,-0.571269742756378,0.4086828061902,FALSE,TRUE
"GSE67472","Asthma","validation","FGFR_AXIS",62,43,FALSE,NA,NA,"SMD",-0.542090672062022,0.0407841904817274,-0.0753998886594261,0.294178816351592,0.0981257909141329,0.349199963162658,-0.163288211640361,0.0673423671814237,0.0171320009028891,-0.510674795352968,0.210609505937277,-0.173525679573559,-0.542691906626334,0.319749893917321,FALSE,TRUE
"GSE67472","Asthma","validation","HGF_MET_AXIS",62,43,FALSE,NA,NA,"SMD",-0.247968221873336,0.0396776473499292,-0.0621892731509154,0.437094017932814,0.0470834362560835,0.437977130763479,-0.137949776171111,0.0928498917678298,0.140528384474902,-0.312908649115108,0.210609505937277,-0.109272709406999,-0.247861046496227,0.440862777558968,FALSE,TRUE
"GSE67472","Asthma","validation","IGF_INSR_AXIS",62,43,FALSE,NA,NA,"SMD",-1.14926380701436,0.0456744047739964,-0.225443124123574,0.453465542076457,0.288835904705859,0.430433306885836,-0.430532094163625,0.0915679503918129,8.35509886079369e-06,-0.990238956468434,0.210609505937277,-0.514279028829433,-1.18285985120569,0.434775961247843,FALSE,TRUE
"GSE67472","Asthma","validation","JAK_STAT",62,43,FALSE,NA,NA,"SMD",-0.045781380035075,0.0393948268532573,-0.00733462069883573,0.354564831333271,0.00734123064805095,0.256426509182256,-0.0465416903701432,0.0591242406188289,0.433054319375148,-0.165788554943739,0.210609505937277,-0.0146758513468866,-0.0522776067654453,0.280729211892445,FALSE,TRUE
"GSE67472","Asthma","validation","PDGFR_KIT_CSF1R",62,43,FALSE,NA,NA,"SMD",0.533416799259025,0.0407397675531326,0.0851720885686632,0.393595900366643,-0.119298753972345,0.360695222671367,0.183501264851409,0.0777690789121024,0.0202586525247196,0.496947003485807,0.210609505937277,0.204470842541008,0.553735542821749,0.369257211662913,FALSE,TRUE
"GSE67472","Asthma","validation","PI3K_AKT",62,43,FALSE,NA,NA,"SMD",0.357031524312237,0.0399918533989468,0.0362198352611098,0.260684364274191,-0.063262200707066,0.298210927070545,0.0747003447307951,0.0589241171633623,0.207865101061584,0.266997682009892,0.210609505937277,0.099482035968176,0.355573633573577,0.279779000957872,FALSE,TRUE
