"disease","feature","k","est","se","p","ci_lo","ci_hi","I2","tau2","measures","cohorts","note","fdr"
"Asthma","TAM_AXL_AXIS",3,0.212577960225108,0.120341218577977,0.219356620588086,-0.305208512390801,0.730364432841018,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.370313150300835
"COPD","TAM_AXL_AXIS",1,0.261304594832462,0.174185101434425,0.133574340024779,-0.080091930622467,0.602701120287391,0,0,"SMDH 1","GSE76925","",NA
"CRC","TAM_AXL_AXIS",2,-0.108818500646675,0.143079667137091,0.586059822463721,-1.92681804487429,1.70918104358094,3.76501683068642,0.00197343357468606,"SMDH 2","GSE41258;GSE23878","",0.622688561367704
"HCC","TAM_AXL_AXIS",1,-0.741669870396519,0.52359539309874,0.156630842718385,-1.76789798334114,0.284558242548103,0,0,"SMDH 1","GSE62232","",NA
"IBD","TAM_AXL_AXIS",3,0.684045536894907,0.157828473447778,0.0493295090402932,0.00496442478263359,1.36312664900718,23.7571937294551,0.0180402753586263,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.0921107863463364
"NAFLD","TAM_AXL_AXIS",2,-0.399482018720574,0.0585690576607702,0.0926761491133087,-1.14367245656314,0.344708419121993,0,0,"SMDH 2","GSE33814;GSE66676","",0.74140919290647
"STAD","TAM_AXL_AXIS",1,-0.273727857855071,0.245056297887154,0.263994372096489,-0.754029375898613,0.206573660188471,0,0,"SMDH 1","GSE13911","",NA
"Asthma","TGFB_SMAD",3,-0.136091509607866,0.162798387904647,0.49114456218525,-0.83655643772461,0.564373418508877,28.4034134435277,0.0221779197893958,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.55663050380995
"COPD","TGFB_SMAD",2,-0.19689401287086,0.0618914213403376,0.193888387212795,-0.983299083834042,0.589511058092322,0,0,"SMDH 2","GSE76925;GSE47460","",0.415475115455989
"CRC","TGFB_SMAD",2,-0.524963134332724,0.0831398866190995,0.0999927769515493,-1.58135555545735,0.531429286791905,0,0,"SMDH 2","GSE41258;GSE23878","",0.19935359681284
"HCC","TGFB_SMAD",1,1.90533696800813,0.236049806831844,6.92929910476764e-16,1.44268784806008,2.36798608795618,0,0,"SMDH 1","GSE62232","",NA
"IBD","TGFB_SMAD",3,1.13070206227898,0.274478156103543,0.0541828154978449,-0.050282125336522,2.31168624989449,71.0458782928635,0.157679195756934,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.0921107863463364
"NAFLD","TGFB_SMAD",2,-0.618448466449469,0.295029790806223,0.283371072531065,-4.36715739170414,3.1302604588052,48.4543352731586,0.0863616961141694,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"STAD","TGFB_SMAD",1,0.246795851884067,0.249201021011327,0.322003819063019,-0.241629174208743,0.735220877976878,0,0,"SMDH 1","GSE13911","",NA
"Asthma","TIE_ANGPT_AXIS",3,-0.225075922356608,0.25762242739611,0.474428294668652,-1.33353576283716,0.883383918123948,72.27396366615,0.143998924364852,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.55663050380995
"COPD","TIE_ANGPT_AXIS",2,0.107227125265384,0.0768216692924459,0.395769771912703,-0.868884732939139,1.08333898346991,0,0,"SMDH 2","GSE76925;GSE47460","",0.593654657869055
"CRC","TIE_ANGPT_AXIS",2,-0.236670382903528,0.00860656143547064,0.0231405965993416,-0.346027114577083,-0.127313651229972,0,0,"SMDH 2","GSE41258;GSE23878","",0.100573877542641
"HCC","TIE_ANGPT_AXIS",1,0.148175787132067,0.528702833454246,0.779275815332708,-0.888062724962533,1.18441429922667,0,0,"SMDH 1","GSE62232","",NA
"IBD","TIE_ANGPT_AXIS",3,1.31269501071806,0.150321519801104,0.0128609499862582,0.665913713205753,1.95947630823037,24.4214575923163,0.0188787010320446,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.0546590374415975
"NAFLD","TIE_ANGPT_AXIS",2,0.190482551112248,0.359710927958487,0.689964865006061,-4.38007814536768,4.76104324759218,64.8645480370308,0.169483183338911,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"STAD","TIE_ANGPT_AXIS",1,0.226004654879082,0.247695620392438,0.361542955456273,-0.259469840218401,0.711479149976565,0,0,"SMDH 1","GSE13911","",NA
"Asthma","VEGF_PDGF_AXIS",3,-0.318548975658325,0.155748416608669,0.177478793468043,-0.988680325533773,0.351582374217124,16.8162566751294,0.0110686096418005,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.364933265639017
"COPD","VEGF_PDGF_AXIS",2,-0.385987812246985,0.0240181291285546,0.0395627180303111,-0.691167078334281,-0.0808085461596881,0,0,"SMDH 2","GSE76925;GSE47460","",0.296720385227333
"CRC","VEGF_PDGF_AXIS",2,0.967803811823737,0.268032752992455,0.172000474163954,-2.43787522369894,4.37348284734641,66.405193425399,0.0986151165140585,"SMDH 2","GSE41258;GSE23878","",0.243667338398936
"HCC","VEGF_PDGF_AXIS",1,0.375088037008811,0.536079190354502,0.484122334760071,-0.675607868947404,1.42578394296503,0,0,"SMDH 1","GSE62232","",NA
"IBD","VEGF_PDGF_AXIS",3,1.43548724801817,0.0414783568350379,0.000833874942955145,1.25702028275637,1.61395421327997,0,0,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.00708793701511873
"NAFLD","VEGF_PDGF_AXIS",2,0.169082315942198,0.503395278659503,0.79370704894193,-6.22716115792916,6.56532578981356,82.8861686400808,0.420888706705244,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"STAD","VEGF_PDGF_AXIS",1,0.94849537183535,0.257265460110928,0.000227060234185712,0.444264335551804,1.4527264081189,0,0,"SMDH 1","GSE13911","",NA
"Asthma","WNT_CTNNB1",3,-0.55079336941894,0.0878803987684041,0.0245243666484038,-0.928912207071285,-0.172674531766594,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.208457116511432
"COPD","WNT_CTNNB1",2,-0.525496294100538,0.160892245939018,0.189145787155745,-2.56982611146468,1.5188335232636,50.277881024877,0.0266550169858496,"SMDH 2","GSE76925;GSE47460","",0.415475115455989
"CRC","WNT_CTNNB1",2,2.82383012255254,0.157328537108774,0.035432377747127,0.824781519205598,4.82287872589947,0,0,"SMDH 2","GSE41258;GSE23878","",0.120470084340232
"HCC","WNT_CTNNB1",1,0.88429144166399,0.428187977722441,0.0389046040107091,0.0450584267149658,1.72352445661301,0,0,"SMDH 1","GSE62232","",NA
"IBD","WNT_CTNNB1",3,0.244504373311161,0.361457261659422,0.568504212492008,-1.31072070025552,1.79972944687784,84.7378166632464,0.339924399849802,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.690326543740296
"NAFLD","WNT_CTNNB1",2,0.082836599039974,0.00249103341241565,0.0191384409054684,0.0511850184971688,0.114488179582779,0,0,"SMDH 2","GSE33814;GSE66676","",0.306215054487494
"STAD","WNT_CTNNB1",1,1.39795797854767,0.271854374807275,2.71388767677639e-07,0.865133194885758,1.93078276220958,0,0,"SMDH 1","GSE13911","",NA
