"feature","estimate","ci_low","ci_high","p_value","fdr","smd","accession","disease","role"
"IGF_INSR_AXIS",NA,NA,NA,NA,NA,-0.691015583482067,"GSE23878","CRC","validation"
"JAK_STAT",NA,NA,NA,NA,NA,-0.063384206898812,"GSE23878","CRC","validation"
"PDGFR_KIT_CSF1R",NA,NA,NA,NA,NA,-1.07629322072237,"GSE23878","CRC","validation"
"PI3K_AKT",NA,NA,NA,NA,NA,0.237396261618447,"GSE23878","CRC","validation"
"RAS_MAPK",NA,NA,NA,NA,NA,0.0961889481067344,"GSE23878","CRC","validation"
"RET_ALK_NTRK",NA,NA,NA,NA,NA,-0.73541346180249,"GSE23878","CRC","validation"
"SRC_FAK",NA,NA,NA,NA,NA,-0.280267493453698,"GSE23878","CRC","validation"
"TAM_AXL_AXIS",NA,NA,NA,NA,NA,-0.348712954205475,"GSE23878","CRC","validation"
"TGFB_SMAD",NA,NA,NA,NA,NA,-0.684776604932195,"GSE23878","CRC","validation"
"TIE_ANGPT_AXIS",NA,NA,NA,NA,NA,-0.221915535544863,"GSE23878","CRC","validation"
"VEGF_PDGF_AXIS",NA,NA,NA,NA,NA,0.646035018723919,"GSE23878","CRC","validation"
"WNT_CTNNB1",NA,NA,NA,NA,NA,2.56687191729534,"GSE23878","CRC","validation"
"EPH_RECEPTORS",NA,NA,NA,NA,NA,-0.517553254942549,"GSE75214","IBD","discovery"
"ERBB_LIGANDS",NA,NA,NA,NA,NA,0.583856193547061,"GSE75214","IBD","discovery"
"ERBB_RECEPTORS",NA,NA,NA,NA,NA,-1.30727534685935,"GSE75214","IBD","discovery"
"FGFR_AXIS",NA,NA,NA,NA,NA,0.184539563723066,"GSE75214","IBD","discovery"
"HGF_MET_AXIS",NA,NA,NA,NA,NA,1.91260940648997,"GSE75214","IBD","discovery"
"IGF_INSR_AXIS",NA,NA,NA,NA,NA,-0.79234636144423,"GSE75214","IBD","discovery"
"JAK_STAT",NA,NA,NA,NA,NA,1.9986501550238,"GSE75214","IBD","discovery"
"PDGFR_KIT_CSF1R",NA,NA,NA,NA,NA,1.40396626350664,"GSE75214","IBD","discovery"
