disease,feature,k,est,se,p,ci_lo,ci_hi,I2,tau2,measures,cohorts,fdr,pi_low,pi_high,pi_note
HCC,JAK_STAT,2,0.824473347310616,0.519655629269123,0.358030416897811,-5.77837747048856,7.42732416510979,87.5686194262244,0.472944956654352,SMCRPH 1|SMDH 1,GSE57957;GSE62232,0.472001393376343,-10.1277,11.7766,95% prediction interval; uninformative when k is small
IBD,JAK_STAT,3,2.27192485109385,0.107244772792308,0.00222083208385708,1.81048783668767,2.73336186550004,0,0,SMCRPH 1|SMDH 2,GSE179285;GSE75214;GSE87473,0.0188770727127852,1.8105,2.7334,95% prediction interval; uninformative when k is small
LUAD,JAK_STAT,3,-1.01587408221567,0.0599381888295624,0.00346311476636994,-1.27376729399943,-0.757980870431916,0,0,SMCRPH 3,GSE10072;GSE19804;GSE32863,0.0294364755141445,-1.2738,-0.758,95% prediction interval; uninformative when k is small
NAFLD,JAK_STAT,2,-0.0269141727452971,0.343565585686934,0.950230249583168,-4.39232884478726,4.33850049929666,62.6307812767651,0.149461298955351,SMDH 2,GSE33814;GSE66676,0.950230249583168,-6.5985,6.5447,95% prediction interval; uninformative when k is small
PAAD,JAK_STAT,3,0.681258109437736,0.21422025907061,0.0862739966164345,-0.240457273020062,1.60297349189553,63.7022450660992,0.0839203249400403,SMCRPH 3,GSE15471;GSE28735;GSE62452,0.19719770655185,-0.8691,2.2316,95% prediction interval; uninformative when k is small
STAD,JAK_STAT,3,0.869652032264055,0.130426802938719,0.0217612423532543,0.308470792567279,1.43083327196083,30.1888968319255,0.0193049090411622,SMCRPH 3,GSE13911;GSE27342;GSE63089,0.123979490274899,0.0496,1.6897,95% prediction interval; uninformative when k is small
Asthma,PDGFR_KIT_CSF1R,3,0.355941293080135,0.110492076213691,0.0843488528057166,-0.119467740256388,0.831350326416658,0,0,SMDH 3,GSE4302;GSE43696;GSE67472,0.238988416282864,-0.1195,0.8314,95% prediction interval; uninformative when k is small
COPD,PDGFR_KIT_CSF1R,2,0.371803118091229,0.236940059267669,0.361202874199515,-2.63880578516514,3.3824120213476,77.6630378048516,0.0874888991755964,SMDH 2,GSE47460;GSE76925,0.593654657869055,-4.4436,5.1872,95% prediction interval; uninformative when k is small
CRC,PDGFR_KIT_CSF1R,3,-1.02847553068846,0.0211384210327761,0.000422164856491157,-1.11942681564773,-0.937524245729191,0,0,SMCRPH 2|SMDH 1,GSE23878;GSE41258;GSE44076,0.00717680256034968,-1.1194,-0.9375,95% prediction interval; uninformative when k is small
ESCC,PDGFR_KIT_CSF1R,2,-0.239326856235966,0.110680583126867,0.275766069342533,-1.64565700576514,1.16700329329321,0,0,SMCRPH 2,GSE20347;GSE23400,0.520891464313673,-1.6456,1.167,95% prediction interval; uninformative when k is small
HCC,PDGFR_KIT_CSF1R,2,-0.109899227483877,0.0842752141656193,0.416471817685008,-1.18071735285721,0.960918897889453,0,0,SMCRPH 1|SMDH 1,GSE57957;GSE62232,0.472001393376343,-1.1807,0.9609,95% prediction interval; uninformative when k is small
IBD,PDGFR_KIT_CSF1R,3,1.83108913578667,0.158596226729515,0.00741844734661969,1.14870464792096,2.51347362365238,28.4468227322362,0.0314804105856474,SMCRPH 1|SMDH 2,GSE179285;GSE75214;GSE87473,0.0420378682975116,0.8071,2.8551,95% prediction interval; uninformative when k is small
LUAD,PDGFR_KIT_CSF1R,3,-1.10920048494009,0.302738626799606,0.0670838216209888,-2.41177966394002,0.193378694059837,84.7296218020399,0.238795443042192,SMCRPH 3,GSE10072;GSE19804;GSE32863,0.114048372220049,-3.5828,1.3644,95% prediction interval; uninformative when k is small
NAFLD,PDGFR_KIT_CSF1R,2,0.120762063282959,0.179956487878592,0.623732408875087,-2.16580191530537,2.40732604187129,0,0,SMDH 2,GSE33814;GSE66676,0.919661679056586,-2.1658,2.4073,95% prediction interval; uninformative when k is small
PAAD,PDGFR_KIT_CSF1R,3,0.187578141818386,0.437366078266312,0.709787000282875,-1.69425620873398,2.06941249237075,90.9785734458212,0.520189830548747,SMCRPH 3,GSE15471;GSE28735;GSE62452,0.757106133635066,-3.442,3.8171,95% prediction interval; uninformative when k is small
STAD,PDGFR_KIT_CSF1R,3,-0.26329281249023,0.213003695770867,0.341900097720129,-1.17977374554547,0.653188120565013,67.5758514888571,0.0855371762841299,SMCRPH 3,GSE13911;GSE27342;GSE63089,0.452453832998598,-1.8202,1.2936,95% prediction interval; uninformative when k is small
Asthma,PI3K_AKT,3,0.304545478307903,0.0415277592685393,0.0180909545526304,0.125865951530744,0.483225005085063,0,0,SMDH 3,GSE4302;GSE43696;GSE67472,0.208457116511432,0.1259,0.4832,95% prediction interval; uninformative when k is small
COPD,PI3K_AKT,2,0.0802568755174249,0.0200223890737661,0.15564593484738,-0.174151699361194,0.334665450396044,0,0,SMDH 2,GSE47460;GSE76925,0.415475115455989,-0.1741,0.3347,95% prediction interval; uninformative when k is small
CRC,PI3K_AKT,3,-0.040862428947499,0.0900503345235243,0.694476274441742,-0.428317746599993,0.346592888704995,0,0,SMCRPH 2|SMDH 1,GSE23878;GSE41258;GSE44076,0.787073111033975,-0.4283,0.3466,95% prediction interval; uninformative when k is small
ESCC,PI3K_AKT,2,0.370094673460518,0.375058438854349,0.504240718320495,-4.3954746386529,5.13566398557394,77.9193935328611,0.220384018594269,SMCRPH 2,GSE20347;GSE23400,0.571472814096561,-7.2646,8.0048,95% prediction interval; uninformative when k is small
HCC,PI3K_AKT,2,0.999382147842969,0.887475859767924,0.462287357645228,-10.277067824781,12.2758321204669,95.3349500726447,1.50187468630733,SMCRPH 1|SMDH 1,GSE57957;GSE62232,0.491180317498055,-18.2261,20.2249,95% prediction interval; uninformative when k is small
IBD,PI3K_AKT,3,0.150093044684528,0.242690326610349,0.599324424140061,-0.89411915158928,1.19430524095834,56.0662270130537,0.0916879801731224,SMCRPH 1|SMDH 2,GSE179285;GSE75214;GSE87473,0.727751086455789,-1.5197,1.8199,95% prediction interval; uninformative when k is small
LUAD,PI3K_AKT,3,0.646203760277473,0.414243075567136,0.259130589210789,-1.13614033959128,2.42854786014622,92.1085122152629,0.478881385953975,SMCRPH 3,GSE10072;GSE19804;GSE32863,0.314658572613101,-2.8243,4.1167,95% prediction interval; uninformative when k is small
NAFLD,PI3K_AKT,2,-0.29350259521451,0.0802483104127696,0.169909359954244,-1.31315405705126,0.726148866622242,0,0,SMDH 2,GSE33814;GSE66676,0.906183253089302,-1.3131,0.7261,95% prediction interval; uninformative when k is small
PAAD,PI3K_AKT,3,0.367279269463256,0.102108075401461,0.0693471442830576,-0.0720563198923042,0.806614858818816,0,0,SMCRPH 3,GSE15471;GSE28735;GSE62452,0.184925718088154,-0.0721,0.8067,95% prediction interval; uninformative when k is small
STAD,PI3K_AKT,3,0.760996623526124,0.127375476246632,0.0268910669225003,0.212944182950414,1.30904906410183,43.7413777308033,0.0258009017001683,SMCRPH 3,GSE13911;GSE27342;GSE63089,0.123979490274899,-0.1211,1.6431,95% prediction interval; uninformative when k is small
Asthma,RAS_MAPK,3,0.296147768171427,0.0710657530061803,0.0530441113357886,-0.0096234879923161,0.601919024335169,0,0,SMDH 3,GSE4302;GSE43696;GSE67472,0.238988416282864,-0.0096,0.6019,95% prediction interval; uninformative when k is small
COPD,RAS_MAPK,2,-0.237101474889345,0.105417207305615,0.266336808287633,-1.57655409363027,1.10235114385158,0,0,SMDH 2,GSE47460;GSE76925,0.499381515539311,-1.5765,1.1023,95% prediction interval; uninformative when k is small
CRC,RAS_MAPK,3,-0.417550952857479,0.247726904749978,0.233930170045948,-1.48343379581236,0.648331890097399,75.02139208366,0.135134217668123,SMCRPH 2|SMDH 1,GSE23878;GSE41258;GSE44076,0.284058063627222,-2.325,1.4899,95% prediction interval; uninformative when k is small
ESCC,RAS_MAPK,2,-0.489148841273993,0.428740996848329,0.458163333606076,-5.9368197260205,4.95852204347251,84.4405936589294,0.311701669014081,SMCRPH 2,GSE20347;GSE23400,0.556341190807378,-9.4333,8.455,95% prediction interval; uninformative when k is small
HCC,RAS_MAPK,2,0.883465534422434,0.117247642140817,0.083997075218335,-0.606307011452537,2.37323808029741,0,0,SMCRPH 1|SMDH 1,GSE57957;GSE62232,0.472001393376343,-0.6063,2.3732,95% prediction interval; uninformative when k is small
IBD,RAS_MAPK,3,0.114831848086941,0.216053132563068,0.648198801683291,-0.814769752506464,1.04443344868035,62.4336640614011,0.0888491561830042,SMCRPH 1|SMDH 2,GSE179285;GSE75214;GSE87473,0.734625308574396,-1.4693,1.6989,95% prediction interval; uninformative when k is small
LUAD,RAS_MAPK,3,-0.0323011397984992,0.320102020645169,0.928827589235475,-1.40958897272575,1.34498669312876,89.0768684584304,0.276376344023343,SMCRPH 3,GSE10072;GSE19804;GSE32863,0.928827589235475,-2.6808,2.6162,95% prediction interval; uninformative when k is small
NAFLD,RAS_MAPK,2,0.439053736821558,0.498444751266134,0.540276369394808,-5.89428732243761,6.77239479608073,79.9692279417039,0.39951180657286,SMDH 2,GSE33814;GSE66676,0.919661679056586,-9.7888,10.6669,95% prediction interval; uninformative when k is small
PAAD,RAS_MAPK,3,1.14665447828512,0.0593782874951535,0.00267083821638022,0.891170327506248,1.40213862906399,0,0,SMCRPH 3,GSE15471;GSE28735;GSE62452,0.0427334114620835,0.8911,1.4022,95% prediction interval; uninformative when k is small
STAD,RAS_MAPK,3,0.889884117226223,0.265984549492187,0.0789100457743055,-0.254555030717515,2.03432326516996,82.2046989060594,0.184504635456738,SMCRPH 3,GSE13911;GSE27342;GSE63089,0.166815533780199,-1.2841,3.0639,95% prediction interval; uninformative when k is small
Asthma,RET_ALK_NTRK,3,0.0846109462172257,0.253019265318627,0.769885591664897,-1.00404308638517,1.17326497881962,72.5916423813638,0.139336449948912,SMDH 3,GSE4302;GSE43696;GSE67472,0.769885591664897,-1.8558,2.025,95% prediction interval; uninformative when k is small
COPD,RET_ALK_NTRK,2,0.702221519290602,0.0826289275500172,0.0745668255091958,-0.347678551290463,1.75212158987167,0,0,SMDH 2,GSE47460;GSE76925,0.372834127545979,-0.3477,1.7521,95% prediction interval; uninformative when k is small
