"state","accession","variant","n_genes","yi","vi"
"STAD JAK_STAT","GSE27342","drop_JAK3",6,0.680796065445128,0.0263849976240419
"STAD JAK_STAT","GSE27342","drop_TYK2",6,0.628576652973759,0.0265975408827095
"STAD JAK_STAT","GSE63089","full",7,1.22921447837569,0.0646980320313825
"STAD JAK_STAT","GSE63089","minus_overlap",7,1.22921447837569,0.0646980320313825
"STAD JAK_STAT","GSE63089","drop_STAT3",6,1.04721117922045,0.0640549389626733
"STAD JAK_STAT","GSE63089","drop_STAT1",6,0.971745797507391,0.0557507301380534
"STAD JAK_STAT","GSE63089","drop_JAK1",6,1.2079698571402,0.0628913168214788
"STAD JAK_STAT","GSE13911","full",9,0.797749085830825,0.0631854743082474
"STAD JAK_STAT","GSE13911","minus_overlap",9,0.797749085830825,0.0631854743082474
"STAD JAK_STAT","GSE13911","drop_STAT5A",8,0.578314966609096,0.0609973916753501
"STAD JAK_STAT","GSE13911","drop_STAT1",8,0.683812452252049,0.061962255945284
"STAD JAK_STAT","GSE13911","drop_STAT3",8,0.642828250769487,0.0615682609462434
"STAD RAS_MAPK","GSE27342","full",8,0.445552987746421,0.0243575063848275
"STAD RAS_MAPK","GSE27342","minus_overlap",8,0.445552987746421,0.0243575063848275
"STAD RAS_MAPK","GSE27342","drop_ETV4",7,0.142448631607407,0.0229897520290548
"STAD RAS_MAPK","GSE27342","drop_NRAS",7,0.389368594773247,0.0255668293571767
"STAD RAS_MAPK","GSE27342","drop_ETV5",7,0.391718896571743,0.0246830351574757
"STAD RAS_MAPK","GSE63089","full",7,1.30781595776928,0.0413888216524793
"STAD RAS_MAPK","GSE63089","minus_overlap",7,1.30781595776928,0.0413888216524793
"STAD RAS_MAPK","GSE63089","drop_ETV4",6,0.890737922403248,0.0349618648210659
"STAD RAS_MAPK","GSE63089","drop_NRAS",6,1.18416371194286,0.0427198204330371
"STAD RAS_MAPK","GSE63089","drop_ETV5",6,1.33836706684405,0.045497469028809
"STAD RAS_MAPK","GSE13911","full",12,0.848962987798458,0.0637965942409124
"STAD RAS_MAPK","GSE13911","minus_overlap",12,0.848962987798458,0.0637965942409124
"STAD RAS_MAPK","GSE13911","drop_ETV4",11,0.620074017967458,0.0613600263648734
"STAD RAS_MAPK","GSE13911","drop_MAP2K1",11,0.622657048603067,0.0613832873244153
"STAD RAS_MAPK","GSE13911","drop_HRAS",11,0.587250587628396,0.0610728630671313
"STAD HGF_MET_AXIS","GSE27342","full",3,0.634140533937529,0.0322267840241023
"STAD HGF_MET_AXIS","GSE27342","minus_overlap",3,0.634140533937529,0.0322267840241023
"STAD HGF_MET_AXIS","GSE63089","full",3,1.24555174565224,0.0544688824444512
"STAD HGF_MET_AXIS","GSE63089","minus_overlap",3,1.24555174565224,0.0544688824444512
"STAD HGF_MET_AXIS","GSE13911","full",3,0.505035730555999,0.0604221227516845
"STAD HGF_MET_AXIS","GSE13911","minus_overlap",3,0.505035730555999,0.0604221227516845
"STAD WNT_CTNNB1","GSE27342","full",4,0.392469865089746,0.0263342057517589
"STAD WNT_CTNNB1","GSE27342","minus_overlap",4,0.392469865089746,0.0263342057517589
"STAD WNT_CTNNB1","GSE27342","drop_CTNNB1",3,0.139437896072218,0.0252984499984241
"STAD WNT_CTNNB1","GSE27342","drop_CCND1",3,0.30584538974496,0.0209981366668902
"STAD WNT_CTNNB1","GSE27342","drop_MYC",3,0.458762446145276,0.0245670585081415
"STAD WNT_CTNNB1","GSE63089","full",4,0.809629913994821,0.0315405193045988
"STAD WNT_CTNNB1","GSE63089","minus_overlap",4,0.809629913994821,0.0315405193045988
"STAD WNT_CTNNB1","GSE63089","drop_CTNNB1",3,0.159184291760091,0.0293077838611681
"STAD WNT_CTNNB1","GSE63089","drop_CCND1",3,0.815414071073523,0.0380953466696983
"STAD WNT_CTNNB1","GSE63089","drop_AXIN2",3,0.83515831831934,0.0303003592002027
"STAD WNT_CTNNB1","GSE13911","full",4,1.38518947761347,0.0724778386919225
"STAD WNT_CTNNB1","GSE13911","minus_overlap",4,1.38518947761347,0.0724778386919225
"STAD WNT_CTNNB1","GSE13911","drop_CTNNB1",3,0.933444411808646,0.0648877559458769
"STAD WNT_CTNNB1","GSE13911","drop_MYC",3,0.955466524632927,0.0651891893499156
"STAD WNT_CTNNB1","GSE13911","drop_CCND1",3,1.34631295087305,0.0717083363208892
"STAD PI3K_AKT","GSE27342","full",8,0.631044765602305,0.0247267637157258
"STAD PI3K_AKT","GSE27342","minus_overlap",8,0.631044765602305,0.0247267637157258
"STAD PI3K_AKT","GSE27342","drop_MTOR",7,0.595517552630969,0.0235138366389152
"STAD PI3K_AKT","GSE27342","drop_AKT2",7,0.547169664640949,0.0234648503715161
"STAD PI3K_AKT","GSE27342","drop_PIK3CB",7,0.564772524570549,0.0252159281032611
"STAD PI3K_AKT","GSE63089","full",8,1.09303850432687,0.0466414082672545
"STAD PI3K_AKT","GSE63089","minus_overlap",8,1.09303850432687,0.0466414082672545
"STAD PI3K_AKT","GSE63089","drop_AKT2",7,0.867163607231038,0.045145706223288
"STAD PI3K_AKT","GSE63089","drop_PIK3CB",7,0.990785681140089,0.0487268034278243
"STAD PI3K_AKT","GSE63089","drop_RPS6KB1",7,0.968797157306798,0.0407824937351028
"STAD PI3K_AKT","GSE13911","full",9,0.721922369527148,0.0623504620160719
"STAD PI3K_AKT","GSE13911","minus_overlap",9,0.721922369527148,0.0623504620160719
"STAD PI3K_AKT","GSE13911","drop_PDPK1",8,0.564300900937566,0.0608813576622694
"STAD PI3K_AKT","GSE13911","drop_PIK3CB",8,0.530028261941891,0.0606095783264592
"STAD PI3K_AKT","GSE13911","drop_AKT2",8,0.828337786661338,0.0635459082565596
"IBD JAK_STAT","GSE75214","full",9,1.9986431252197,0.0775823637747693
"IBD JAK_STAT","GSE75214","minus_overlap",9,1.9986431252197,0.0775823637747693
"IBD JAK_STAT","GSE75214","drop_JAK1",8,1.87731419036382,0.0751583134003023
"IBD JAK_STAT","GSE75214","drop_JAK2",8,1.86913736451325,0.0750004057615299
"IBD JAK_STAT","GSE75214","drop_STAT1",8,1.87787231190385,0.0751691167532597
"IBD JAK_STAT","GSE87473","full",9,1.90121535418812,0.0712837965879255
"IBD JAK_STAT","GSE87473","minus_overlap",9,1.90121535418812,0.0712837965879255
"IBD JAK_STAT","GSE87473","drop_JAK2",8,1.82232506174251,0.0701272958306585
"IBD JAK_STAT","GSE87473","drop_STAT3",8,1.82227279645534,0.0701265458859591
"IBD JAK_STAT","GSE87473","drop_STAT1",8,1.82727970984974,0.0701984868045707
"IBD JAK_STAT","GSE179285","full",9,1.35757475450049,0.0950994893485714
"IBD JAK_STAT","GSE179285","minus_overlap",9,1.35757475450049,0.0950994893485714
"IBD JAK_STAT","GSE179285","drop_STAT5A",8,1.29984504240455,0.0936522055769356
"IBD JAK_STAT","GSE179285","drop_STAT1",8,1.30335510765327,0.0937384074862014
"IBD JAK_STAT","GSE179285","drop_JAK2",8,1.25226694134319,0.0925066900874766
"IBD HGF_MET_AXIS","GSE75214","full",3,1.91260267931492,0.0758476971094839
"IBD HGF_MET_AXIS","GSE75214","minus_overlap",3,1.91260267931492,0.0758476971094839
