"accession","disease","module","smd_full"
"GSE63089","STAD","HGF_MET_AXIS",1.51476077468253
"GSE63089","STAD","IGF_INSR_AXIS",0.682749787523285
"GSE63089","STAD","JAK_STAT",1.24818719624762
"GSE63089","STAD","PDGFR_KIT_CSF1R",0.476971013817724
"GSE63089","STAD","PI3K_AKT",1.45555737588549
"GSE63089","STAD","RAS_MAPK",1.37231624873116
"GSE63089","STAD","RET_ALK_NTRK",-0.0436879813191612
"GSE63089","STAD","SRC_FAK",1.30684767176497
"GSE63089","STAD","TGFB_SMAD",1.04930559656074
"GSE63089","STAD","TIE_ANGPT_AXIS",0.651756654371872
"GSE63089","STAD","VEGF_PDGF_AXIS",0.956895121666036
"GSE63089","STAD","WNT_CTNNB1",1.0857641412824
"GSE13911","STAD","EPH_RECEPTORS",1.29653632914262
"GSE13911","STAD","ERBB_LIGANDS",-1.08285192524775
"GSE13911","STAD","ERBB_RECEPTORS",-1.07109099644382
"GSE13911","STAD","FGFR_AXIS",-0.43116428506767
"GSE13911","STAD","HGF_MET_AXIS",0.190140151313171
"GSE13911","STAD","IGF_INSR_AXIS",-0.495600483249426
"GSE13911","STAD","JAK_STAT",0.623649805268508
"GSE13911","STAD","PDGFR_KIT_CSF1R",-1.06572604552806
"GSE13911","STAD","PI3K_AKT",0.30721810115096
"GSE13911","STAD","RAS_MAPK",0.674005240021595
"GSE13911","STAD","RET_ALK_NTRK",-1.03158556222636
"GSE13911","STAD","SRC_FAK",-0.478701815908863
"GSE13911","STAD","TAM_AXL_AXIS",-0.428318371639108
"GSE13911","STAD","TGFB_SMAD",-0.134125240705776
"GSE13911","STAD","TIE_ANGPT_AXIS",0.0257187326544024
"GSE13911","STAD","VEGF_PDGF_AXIS",0.278757950034811
"GSE13911","STAD","WNT_CTNNB1",1.14895496398804
"GSE15471","PAAD","EPH_RECEPTORS",-0.21603218537951
"GSE15471","PAAD","ERBB_LIGANDS",0.11318615834959
"GSE15471","PAAD","ERBB_RECEPTORS",-0.119011605196434
"GSE15471","PAAD","FGFR_AXIS",-0.164665684483884
"GSE15471","PAAD","HGF_MET_AXIS",1.25351715518815
"GSE15471","PAAD","IGF_INSR_AXIS",-0.157781582111647
"GSE15471","PAAD","JAK_STAT",0.773874143135915
"GSE15471","PAAD","PDGFR_KIT_CSF1R",0.981132261864811
"GSE15471","PAAD","PI3K_AKT",0.145230368859717
"GSE15471","PAAD","RAS_MAPK",0.635080163321514
"GSE15471","PAAD","RET_ALK_NTRK",-0.922482664330411
"GSE15471","PAAD","SRC_FAK",-0.341280322254929
"GSE15471","PAAD","TAM_AXL_AXIS",0.324742729389027
"GSE15471","PAAD","TGFB_SMAD",1.10178643841199
"GSE15471","PAAD","TIE_ANGPT_AXIS",0.436025402045349
"GSE15471","PAAD","VEGF_PDGF_AXIS",0.428775754992807
"GSE15471","PAAD","WNT_CTNNB1",0.80700241153735
"GSE28735","PAAD","EPH_RECEPTORS",0.948014391666593
"GSE28735","PAAD","ERBB_LIGANDS",0.418683549824295
"GSE28735","PAAD","ERBB_RECEPTORS",0.295167803618207
