"disease","feature","k","est","se","p","ci_lo","ci_hi","I2","tau2","measures","cohorts","fdr"
"NAFLD","IGF_INSR_AXIS",2,-1.03181476798273,0.654757935115317,0.359977291053871,-9.35130314419294,7.28767360822748,89.0932390754664,0.764719933501995,"SMDH 2","GSE33814;GSE66676",0.919661679056586
"PAAD","IGF_INSR_AXIS",3,-0.55111356982257,0.36252212051391,0.267826455417991,-2.11092036124631,1.00869322160117,92.440906398515,0.364843418352565,"SMCRPH 3","GSE15471;GSE28735;GSE62452",0.38956575333526
"STAD","IGF_INSR_AXIS",3,0.0423154735411781,0.0664667983304377,0.589504136797605,-0.243668077732987,0.328299024815343,0,0,"SMCRPH 3","GSE13911;GSE27342;GSE63089",0.628804412584113
"Asthma","JAK_STAT",3,-0.16414534559567,0.0991379741869869,0.239614391371128,-0.59070162085314,0.262410929661801,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472",0.370313150300835
"COPD","JAK_STAT",2,0.281843560148177,0.0533834187373332,0.119169166834586,-0.396457087845324,0.960144208141677,0,0,"SMDH 2","GSE47460;GSE76925",0.415475115455989
"CRC","JAK_STAT",3,-0.0593791384227579,0.00857516025445811,0.0202247761330342,-0.0962750750996413,-0.0224832017458746,0,0,"SMCRPH 2|SMDH 1","GSE23878;GSE41258;GSE44076",0.0343821194261581
"ESCC","JAK_STAT",2,-0.153567846378375,0.317634433522416,0.713305128179409,-4.18949598997307,3.88236029721632,78.6760320938699,0.161022372582358,"SMCRPH 2","GSE20347;GSE23400",0.716188799862626
"HCC","JAK_STAT",2,0.805956118729266,0.519664606503416,0.364590272392754,-5.79700876564681,7.40892100310534,91.0788787118232,0.492568925318696,"SMCRPH 1|SMDH 1","GSE57957;GSE62232",0.449493047555973
"IBD","JAK_STAT",3,2.07223849329095,0.303030518641409,0.0207218515430634,0.768403405061094,3.3760735815208,65.6818765412431,0.154317238955712,"SMCRPH 1|SMDH 2","GSE179285;GSE75214;GSE87473",0.0605430192751904
"LUAD","JAK_STAT",3,-1.01233058031722,0.0600412544185908,0.00349921480317889,-1.27066724753895,-0.75399391309549,0,0,"SMCRPH 3","GSE10072;GSE19804;GSE32863",0.0297433258270205
"NAFLD","JAK_STAT",2,-0.0269141727452971,0.343565585686934,0.950230249583168,-4.39232884478726,4.33850049929666,62.6307812767651,0.149461298955351,"SMDH 2","GSE33814;GSE66676",0.950230249583168
"PAAD","JAK_STAT",3,0.680278850091016,0.213656256647591,0.0860934547859077,-0.239009825801792,1.59956752598382,76.1342561321475,0.0995183375952304,"SMCRPH 3","GSE15471;GSE28735;GSE62452",0.196785039510646
"STAD","JAK_STAT",3,0.845714021385163,0.127079953296668,0.0218420812452538,0.29893311343682,1.39249492933351,47.6441752002291,0.0245885356547441,"SMCRPH 3","GSE13911;GSE27342;GSE63089",0.125733237208378
"Asthma","PDGFR_KIT_CSF1R",3,0.355941293080135,0.110492076213691,0.0843488528057166,-0.119467740256388,0.831350326416658,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472",0.238988416282864
"COPD","PDGFR_KIT_CSF1R",2,0.371803118091229,0.236940059267669,0.361202874199515,-2.63880578516514,3.3824120213476,77.6630378048516,0.0874888991755964,"SMDH 2","GSE47460;GSE76925",0.593654657869055
"CRC","PDGFR_KIT_CSF1R",3,-1.05023792174913,0.0451345593777289,0.00184179762344607,-1.24443625686175,-0.856039586636505,0,0,"SMCRPH 2|SMDH 1","GSE23878;GSE41258;GSE44076",0.0202146226079131
"ESCC","PDGFR_KIT_CSF1R",2,-0.266046347768123,0.131818140066434,0.292856247307251,-1.94095462339399,1.40886192785775,6.25857802711423,0.00305946248551657,"SMCRPH 2","GSE20347;GSE23400",0.553172911580363
"HCC","PDGFR_KIT_CSF1R",2,-0.134983537170049,0.0638403538213913,0.281241888614666,-0.94615214325448,0.676185068914381,0,0,"SMCRPH 1|SMDH 1","GSE57957;GSE62232",0.434646555131756
"IBD","PDGFR_KIT_CSF1R",3,1.5417329653746,0.330036043846198,0.042898033809954,0.121702480404043,2.96176345034516,78.2501408039961,0.242602923060519,"SMCRPH 1|SMDH 2","GSE179285;GSE75214;GSE87473",0.0881423450676656
"LUAD","PDGFR_KIT_CSF1R",3,-1.10864958375389,0.30084705281429,0.0663889457484946,-2.40308997678238,0.185790809274593,88.92459858338,0.245371738088465,"SMCRPH 3","GSE10072;GSE19804;GSE32863",0.114712152258267
"NAFLD","PDGFR_KIT_CSF1R",2,0.120762063282959,0.179956487878592,0.623732408875087,-2.16580191530537,2.40732604187129,0,0,"SMDH 2","GSE33814;GSE66676",0.919661679056586
"PAAD","PDGFR_KIT_CSF1R",3,0.18135788326353,0.434882384943026,0.717158160030094,-1.68978999743154,2.0525057639586,94.8503113026022,0.531710898748887,"SMCRPH 3","GSE15471;GSE28735;GSE62452",0.7649687040321
"STAD","PDGFR_KIT_CSF1R",3,-0.288189747171989,0.224995016553009,0.328699116325581,-1.25626516932382,0.67988567497984,83.5215309910868,0.120255776544237,"SMCRPH 3","GSE13911;GSE27342;GSE63089",0.478107805564482
"Asthma","PI3K_AKT",3,0.304545478307903,0.0415277592685393,0.0180909545526304,0.125865951530744,0.483225005085063,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472",0.208457116511432
"COPD","PI3K_AKT",2,0.0802568755174249,0.0200223890737661,0.15564593484738,-0.174151699361194,0.334665450396044,0,0,"SMDH 2","GSE47460;GSE76925",0.415475115455989
"CRC","PI3K_AKT",3,-0.0737142570373593,0.0744012657410695,0.426220276499294,-0.393837066174987,0.246408552100269,0.0250918617850398,6.37302911229962e-06,"SMCRPH 2|SMDH 1","GSE23878;GSE41258;GSE44076",0.483049646699199
"ESCC","PI3K_AKT",2,0.369682373716277,0.374333217426009,0.503979460289883,-4.3866721264496,5.12603687388215,84.627293303904,0.238454100087033,"SMCRPH 2","GSE20347;GSE23400",0.571176721661868
"HCC","PI3K_AKT",2,0.990755837787885,0.887513462111077,0.465042252634491,-10.2861719179067,12.2676835934825,96.2907999903513,1.5174718970305,"SMCRPH 1|SMDH 1","GSE57957;GSE62232",0.494107393424147
"IBD","PI3K_AKT",3,0.221980175532281,0.176210623805812,0.334850562696995,-0.53619294599665,0.980153297061213,24.6366384737505,0.022632084899208,"SMCRPH 1|SMDH 2","GSE179285;GSE75214;GSE87473",0.437881505065301
"LUAD","PI3K_AKT",3,0.647298979969627,0.412453528276809,0.257121603401873,-1.12734531936538,2.42194327930464,94.9592178123556,0.487248497136701,"SMCRPH 3","GSE10072;GSE19804;GSE32863",0.316793738879915
"NAFLD","PI3K_AKT",2,-0.29350259521451,0.0802483104127696,0.169909359954244,-1.31315405705126,0.726148866622242,0,0,"SMDH 2","GSE33814;GSE66676",0.906183253089302
"PAAD","PI3K_AKT",3,0.362911664081682,0.1003989210289,0.0687368485829582,-0.069070027547216,0.794893355710579,3.87533823753922,0.00108038801369419,"SMCRPH 3","GSE15471;GSE28735;GSE62452",0.183298262887889
"STAD","PI3K_AKT",3,0.718385843340368,0.115835152124724,0.0250275788432318,0.21998740984998,1.21678427683076,42.8235310465098,0.0194328636759553,"SMCRPH 3","GSE13911;GSE27342;GSE63089",0.125733237208378
"Asthma","RAS_MAPK",3,0.296147768171427,0.0710657530061803,0.0530441113357886,-0.0096234879923161,0.601919024335169,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472",0.238988416282864
"COPD","RAS_MAPK",2,-0.237101474889345,0.105417207305615,0.266336808287633,-1.57655409363027,1.10235114385158,0,0,"SMDH 2","GSE47460;GSE76925",0.499381515539311
"CRC","RAS_MAPK",3,-0.369857948102509,0.238562377830919,0.261198054140536,-1.39630901429224,0.656593118087219,83.2360965723658,0.134677509820063,"SMCRPH 2|SMDH 1","GSE23878;GSE41258;GSE44076",0.31716906574208
"ESCC","RAS_MAPK",2,-0.479849744931156,0.428318867443804,0.46391591170795,-5.92215696703861,4.9624574771763,86.1452987684083,0.318414404966954,"SMCRPH 2","GSE20347;GSE23400",0.563326464216796
"HCC","RAS_MAPK",2,0.857145322013271,0.106381258654855,0.0786096094302932,-0.494556730547271,2.20884737457381,0,0,"SMCRPH 1|SMDH 1","GSE57957;GSE62232",0.424478732628124
"IBD","RAS_MAPK",3,0.250551784714729,0.14873391013459,0.234111520595285,-0.389398579732177,0.890502149161635,9.8690371199345,0.00749036516041688,"SMCRPH 1|SMDH 2","GSE179285;GSE75214;GSE87473",0.331657987509988
"LUAD","RAS_MAPK",3,-0.0304065316276549,0.319145367348756,0.932782862081784,-1.40357821763768,1.34276515438237,92.3912682200604,0.283756449202775,"SMCRPH 3","GSE10072;GSE19804;GSE32863",0.932782862081784
"NAFLD","RAS_MAPK",2,0.439053736821558,0.498444751266134,0.540276369394808,-5.89428732243761,6.77239479608073,79.9692279417039,0.39951180657286,"SMDH 2","GSE33814;GSE66676",0.919661679056586
"PAAD","RAS_MAPK",3,1.14986140775007,0.0579484171118074,0.00253012218344632,0.900529492679294,1.39919332282085,0,0,"SMCRPH 3","GSE15471;GSE28735;GSE62452",0.0404819549351411
"STAD","RAS_MAPK",3,0.856793523338676,0.259798254112545,0.0809377119786658,-0.261028143902812,1.97461519058016,86.6248429849204,0.178148638100562,"SMCRPH 3","GSE13911;GSE27342;GSE63089",0.182568886282362
"Asthma","RET_ALK_NTRK",3,0.0846109462172257,0.253019265318627,0.769885591664897,-1.00404308638517,1.17326497881962,72.5916423813638,0.139336449948912,"SMDH 3","GSE4302;GSE43696;GSE67472",0.769885591664897
"COPD","RET_ALK_NTRK",2,0.702221519290602,0.0826289275500172,0.0745668255091958,-0.347678551290463,1.75212158987167,0,0,"SMDH 2","GSE47460;GSE76925",0.372834127545979
"CRC","RET_ALK_NTRK",3,-1.16937166524398,0.215027794624372,0.032189303728363,-2.09456159275654,-0.244181737731421,73.0811335877616,0.0958340856766012,"SMCRPH 2|SMDH 1","GSE23878;GSE41258;GSE44076",0.0497471057620155
"ESCC","RET_ALK_NTRK",2,-0.411484998682725,0.354497060957115,0.452723524967659,-4.91579723357603,4.09282723621058,83.1906649000799,0.210404218435742,"SMCRPH 2","GSE20347;GSE23400",0.563326464216796
"HCC","RET_ALK_NTRK",2,-1.15930461148963,0.513471760732473,0.265435594223702,-7.68358192960054,5.36497270662127,84.3722318716871,0.449059595514207,"SMCRPH 1|SMDH 1","GSE57957;GSE62232",0.434646555131756
"IBD","RET_ALK_NTRK",2,-0.182811122813446,0.313286859525849,0.663725713866516,-4.16349810110208,3.79787585547519,61.6800895710001,0.122987581382616,"SMCRPH 1|SMDH 1","GSE179285;GSE87473",0.752222475715385
"LUAD","RET_ALK_NTRK",3,-0.993494370766249,0.272040591262302,0.0674777366225101,-2.16399056336365,0.177001821831155,87.5002821844593,0.199401360130398,"SMCRPH 3","GSE10072;GSE19804;GSE32863",0.114712152258267
"NAFLD","RET_ALK_NTRK",1,-0.404519329702835,0.318617632302728,0.204224483112207,-1.02899841385561,0.219959754449938,0,0,"SMDH 1","GSE33814",NA
"PAAD","RET_ALK_NTRK",1,-1.07502262448897,0.199529936502955,7.13348375430591e-08,-1.46609411387233,-0.683951135105616,0,0,"SMCRPH 1","GSE15471",NA
"STAD","RET_ALK_NTRK",3,-1.11933704598779,0.203276170009832,0.0314333093020946,-1.99396381377361,-0.244710278201976,73.8759379648816,0.0857787729290619,"SMCRPH 3","GSE13911;GSE27342;GSE63089",0.125733237208378
"Asthma","SRC_FAK",3,0.201997426293111,0.145758840671399,0.300096198516655,-0.4251522474068,0.829147099993022,10.5422075097811,0.00643923585573964,"SMDH 3","GSE4302;GSE43696;GSE67472",0.392433490367934
"COPD","SRC_FAK",2,-0.278477921330641,0.00613147092628296,0.014014701846603,-0.356385646253896,-0.200570196407387,0,0,"SMDH 2","GSE47460;GSE76925",0.210220527699045
