"disease","feature","k","n_case","n_control","smd_min","smd_max","direction_consistency","smd_FE","smd_RE","se_RE","ci_low","ci_high","p_RE","Q","I2","tau2","accession","fdr_RE"
"CRC","PI3K_AKT",3,315,175,-0.0873476646631865,0.237396261618447,0.666666666666667,-0.0478872247212005,-0.0478872247212005,0.0808965912189112,-0.206444543510266,0.110670094067866,0.553880034732685,1.30372350563946,0,0,"GSE44076;GSE41258;GSE23878",0.627730706030376
"CRC","ERBB_RECEPTORS",3,315,175,-0.617664802657789,0.290399460074704,0.666666666666667,-0.264254360954834,-0.0615634473876753,0.343582424719894,-0.734984999838668,0.611858105063318,0.857795570792822,25.7823953511645,92.2427688631744,0.32010319266641,"GSE44076;GSE41258;GSE23878",0.911407793967373
"CRC","TAM_AXL_AXIS",3,315,175,-0.348712954205475,0.0488589917271779,0.666666666666667,-0.00695240099134703,-0.00695240099134703,0.0808559196572924,-0.16543000351964,0.151525201536946,0.931478294728605,1.95463035363919,0,0,"GSE44076;GSE41258;GSE23878",0.931478294728605
"ESCC","SRC_FAK",2,70,70,0.9472206819945,1.51901897162043,1,1.04869105432282,1.14623914279926,0.272378537610896,0.612377209081899,1.68010107651661,2.57347010739302e-05,2.12278223393383,52.8920120013039,0.0864660851110301,"GSE23400;GSE20347",0.000207117225786294
"ESCC","TAM_AXL_AXIS",2,70,70,-0.674000921575507,-0.486482933939234,1,-0.52889849180431,-0.52889849180431,0.127780174382726,-0.779347633594454,-0.278449350014166,3.48628476391377e-05,0.37694059804792,0,0,"GSE23400;GSE20347",0.000207117225786294
"ESCC","VEGF_PDGF_AXIS",2,70,70,0.636286033387547,1.04476574929355,1,0.717853924120426,0.756996460757,0.186377986369234,0.391695607473301,1.1222973140407,4.87334648908928e-05,1.46860772739762,31.9082978153733,0.0266204033779734,"GSE23400;GSE20347",0.000207117225786294
"ESCC","WNT_CTNNB1",2,70,70,0.365053021390222,0.579010312985618,1,0.52340787695277,0.52340787695277,0.127692731681036,0.273130122857939,0.773685631047601,4.15004040104518e-05,0.539998866381478,0,0,"GSE23400;GSE20347",0.000207117225786294
"ESCC","IGF_INSR_AXIS",2,70,70,0.474710896040599,0.865979123772602,1,0.555342321061077,0.593816788209052,0.180044821619358,0.24092893783511,0.946704638582995,0.000973203551794311,1.50274874150392,33.4552761628519,0.0256084793145891,"GSE23400;GSE20347",0.00330889207610066
"ESCC","ERBB_LIGANDS",2,70,70,-0.377284839186976,-0.353984444138235,1,-0.371591889783125,-0.371591889783125,0.123582845863753,-0.613814267676081,-0.129369511890169,0.00263992398259226,0.00656322505447476,0,0,"GSE23400;GSE20347",0.00747978461734474
"ESCC","ERBB_RECEPTORS",2,70,70,-0.890655361357744,-0.403649180380358,1,-0.748010330076753,-0.685410605912844,0.240478803384459,-1.15674906054638,-0.214072151279303,0.00436929338206335,2.63623754385164,62.067151257585,0.0736038893005632,"GSE23400;GSE20347",0.0106111410707253
"ESCC","HGF_MET_AXIS",2,70,70,0.241999374205799,0.709566902961286,1,0.578359514037395,0.515272842221337,0.230424416660274,0.0636409855671997,0.966904698875473,0.0253393092486155,2.59754736056516,61.5021456323928,0.0672278090228196,"GSE23400;GSE20347",0.053846032153308
"ESCC","PDGFR_KIT_CSF1R",2,70,70,-0.343853618514807,-0.172212105787409,1,-0.212563144415302,-0.212563144415302,0.121021863354035,-0.44976599658921,0.0246397077586071,0.0790196483863491,0.361709790122101,0,0,"GSE23400;GSE20347",0.149259335840882
"ESCC","EPH_RECEPTORS",2,70,70,-0.519419193544539,-0.150918663008341,1,-0.232837312579258,-0.27047985175681,0.172520965770547,-0.608620944667083,0.0676612411534623,0.116925810049995,1.58189946746465,36.7848576621165,0.0249755648547435,"GSE23400;GSE20347",0.18070352462272
"ESCC","TIE_ANGPT_AXIS",2,70,70,0.171214810891508,0.583214529309861,1,0.26087413431218,0.316919548030786,0.196978273545019,-0.0691578681174526,0.702996964179024,0.1076368730669,1.92951820635893,48.1735908630251,0.0408858341503136,"GSE23400;GSE20347",0.18070352462272
"ESCC","RET_ALK_NTRK",2,70,70,-0.606878086468835,-0.0214108715071442,1,-0.445744016057815,-0.345311510380935,0.291069718629233,-0.915808158894231,0.225185138132362,0.235482820637507,4.22239562731063,76.3167621354105,0.130796192453436,"GSE23400;GSE20347",0.307939073141355
"ESCC","TGFB_SMAD",2,70,70,0.0382541664631496,0.696557481645014,1,0.509050180126644,0.394309349074005,0.328050322414657,-0.248669282858724,1.03728798100673,0.229371959011009,5.26489952404641,81.0062852019741,0.175525737063593,"GSE23400;GSE20347",0.307939073141355
"ESCC","PI3K_AKT",2,70,70,-0.02970722498399,0.506363278232703,0.5,0.363965405732462,0.273363211007151,0.265735642998852,-0.247478649270598,0.794205071284901,0.303618980560284,3.58603447709564,72.1140439003836,0.103617635272572,"GSE23400;GSE20347",0.344101511301655
"ESCC","RAS_MAPK",2,70,70,-0.975193801328045,-0.0659764596236767,1,-0.228624158093277,-0.483253454239813,0.453073271738023,-1.37127706684634,0.404770158366712,0.286147013913698,7.82073032393502,87.213470371948,0.36048649024055,"GSE23400;GSE20347",0.344101511301655
"ESCC","FGFR_AXIS",2,70,70,-0.690478647877208,0.288465224328359,0.5,-0.42022117943887,-0.220367004093408,0.48908890328194,-1.17898125452601,0.738247246339195,0.652302120621785,11.3228903806116,91.1683327632288,0.436847245357521,"GSE23400;GSE20347",0.655621880794488
"ESCC","JAK_STAT",2,70,70,-0.41396791954798,0.100563828258092,0.5,-0.0172385740543311,-0.113069678714496,0.253538846000252,-0.61000581687499,0.383866459445998,0.655621880794488,3.19633064630493,68.7141253313065,0.0909578907556225,"GSE23400;GSE20347",0.655621880794488
"HCC","IGF_INSR_AXIS",2,118,42,-0.978418910015154,-0.659816848537167,1,-0.701620547521878,-0.701620547521878,0.16909199107362,-1.03304085002617,-0.370200245017584,3.33431932228628e-05,0.40469901966775,0,0,"GSE57957;GSE62232",0.000566834284788668
"HCC","RAS_MAPK",2,118,42,0.602789943003703,0.82239057273972,1,0.631045433337465,0.631045433337465,0.16681711788975,0.304083882273555,0.958006984401375,0.000155038004342721,0.194284903389455,0,0,"GSE57957;GSE62232",0.00108310928197116
"HCC","VEGF_PDGF_AXIS",2,118,42,0.389885924128127,0.668611308605962,1,0.631189402282403,0.631189402282403,0.169199197836971,0.299558974521939,0.962819830042866,0.000191136932112558,0.31542265985871,0,0,"GSE57957;GSE62232",0.00108310928197116
"HCC","ERBB_RECEPTORS",2,118,42,-0.437362561672167,-0.362038221890031,1,-0.428172939427611,-0.428172939427611,0.16124295841841,-0.744209137927694,-0.112136740927528,0.00792021999721741,0.0233757549954529,0,0,"GSE57957;GSE62232",0.0306986904424102
"HCC","SRC_FAK",2,118,42,-1.03762527772542,-0.475520915523933,1,-0.543516213507382,-0.588879448978429,0.225541945191092,-1.03094166155297,-0.14681723640389,0.00902902660070889,1.27051254539314,21.2916075779037,0.0336366215380664,"GSE57957;GSE62232",0.0306986904424102
"HCC","RET_ALK_NTRK",2,118,42,-1.37172595854415,-0.532936680692095,1,-0.634802920454945,-0.837630136523401,0.403404885637946,-1.62830371237378,-0.0469565606730272,0.0378569181187111,2.76830971221073,63.8768741955026,0.224708448301541,"GSE57957;GSE62232",0.107261268003015
"HCC","FGFR_AXIS",2,118,42,-0.575408657466127,-0.280216866819337,1,-0.314428067743287,-0.314428067743287,0.157584452166649,-0.623293593989919,-0.00556254149665431,0.04601030110294,0.35954213686144,0,0,"GSE57957;GSE62232",0.111739302678569
"HCC","TIE_ANGPT_AXIS",2,118,42,0.152976211360844,0.308948562532293,1,0.290606885122455,0.290606885122455,0.15807257153852,-0.0192153550930448,0.600429125337955,0.0659976451409291,0.101027882355364,0,0,"GSE57957;GSE62232",0.140244995924474
"HCC","HGF_MET_AXIS",2,118,42,-0.87871901120033,-0.29507947690915,1,-0.362255752935187,-0.425300156805093,0.242990764221579,-0.901562054679388,0.0509617410692031,0.0800712296730616,1.39012846509777,28.0642023304179,0.0477982626764004,"GSE57957;GSE62232",0.151245656049116
"HCC","TAM_AXL_AXIS",2,118,42,-0.73384162013053,-0.198894669464396,1,-0.259560015452455,-0.290729214453182,0.201725125242905,-0.686110459929275,0.104652031022911,0.149524038669188,1.17746179016024,15.0715540532396,0.0215650004894366,"GSE57957;GSE62232",0.25419086573762
"HCC","TGFB_SMAD",2,118,42,0.275531708648055,1.39272597243785,1,0.400059288275127,0.746601547745513,0.551697135008654,-0.334724836871449,1.82792793236247,0.17596570470419,4.95924800590339,79.8356525261568,0.498223579888514,"GSE57957;GSE62232",0.271946998179203
"HCC","ERBB_LIGANDS",2,118,42,-1.29291267081778,-0.208647313697253,1,-0.328570280912155,-0.661111399218703,0.534665675525712,-1.7090561232491,0.386833324811693,0.216274647625737,4.7085573335873,78.762072347155,0.462975812981411,"GSE57957;GSE62232",0.282820693049041
"HCC","JAK_STAT",2,118,42,0.200802989841411,1.00723085001967,1,0.291255881062015,0.485796736337786,0.385493789326387,-0.269771090741932,1.2413645634175,0.207599596358929,2.64558072372757,62.2011155799842,0.202254980384645,"GSE57957;GSE62232",0.282820693049041
"HCC","EPH_RECEPTORS",2,118,42,-0.449166868224861,-0.135681042792483,1,-0.171190902970545,-0.171190902970545,0.155518992286078,-0.476008127851258,0.133626321910168,0.270996038684207,0.408121375987221,0,0,"GSE57957;GSE62232",0.329066618402251
"HCC","PI3K_AKT",2,118,42,0.0836751966266426,1.43359838858849,1,0.229298813746018,0.685605637866938,0.670998961613478,-0.629552326895479,2.00076360262936,0.306890456552471,7.24811186049987,86.2033034361719,0.785438220165528,"GSE57957;GSE62232",0.347809184092801
"HCC","WNT_CTNNB1",2,118,42,-0.0188093338537167,0.762224618174127,0.5,0.0681620259561104,0.250911549839545,0.371364797248092,-0.476963452766715,0.978786552445806,0.499264727248841,2.51287612349509,60.2049623278235,0.183629359748363,"GSE57957;GSE62232",0.530468772701894
"HCC","PDGFR_KIT_CSF1R",2,118,42,-0.10364215427263,0.0294290951468313,0.5,-0.0885461587432825,-0.0885461587432825,0.155208544096046,-0.392754905171532,0.215662587684967,0.568340001145437,0.0739301230351698,0,0,"GSE57957;GSE62232",0.568340001145437
"IBD","JAK_STAT",3,202,75,1.35759154506285,1.9986501550238,1,1.78205894838385,1.77491956509162,0.190276015999197,1.4019785737332,2.14786055645005,1.07754382900355e-20,2.69842183141626,25.8826037977055,0.0281805770976947,"GSE75214;GSE87473;GSE179285",1.83182450930603e-19
