"accession","sample_id","patient_id","group"
"GSE15471","GSM388122","30068","Case"
"GSE15471","GSM388123","30277","Case"
"GSE15471","GSM388124","30308","Case"
"GSE15471","GSM388125","30364","Case"
"GSE15471","GSM388126","30582","Case"
"GSE15471","GSM388127","30617","Case"
"GSE15471","GSM388128","40645","Case"
"GSE15471","GSM388129","40656","Case"
"GSE15471","GSM388130","40726","Case"
"GSE15471","GSM388131","40730","Case"
"GSE15471","GSM388132","40741","Case"
"GSE15471","GSM388133","40836","Case"
"GSE15471","GSM388134","40843","Case"
"GSE15471","GSM388135","40875","Case"
"GSE15471","GSM388136","40892","Case"
"GSE15471","GSM388137","40899","Case"
"GSE15471","GSM388138","40975","Case"
"GSE15471","GSM388139","40977","Case"
"GSE15471","GSM388140","51084","Case"
"GSE15471","GSM388141","51091","Case"
"GSE15471","GSM388142","51176","Case"
"GSE15471","GSM388143","51292","Case"
"GSE15471","GSM388144","51294","Case"
"GSE15471","GSM388145","51308","Case"
"GSE15471","GSM388146","51315","Case"
"GSE15471","GSM388147","51572","Case"
"GSE15471","GSM388148","51628","Case"
"GSE15471","GSM388149","51677","Case"
"GSE15471","GSM388150","51681","Case"
"GSE15471","GSM388151","51721","Case"
"GSE15471","GSM388152","51722","Case"
"GSE15471","GSM388153","51783","Case"
"GSE20347","GSM509787","E1507","Control"
"GSE20347","GSM509788","E1520","Control"
"GSE20347","GSM509789","E1521","Control"
"GSE20347","GSM509790","E1532","Control"
"GSE20347","GSM509791","E1535","Control"
"GSE20347","GSM509792","E1542","Control"
"GSE20347","GSM509793","E1546","Control"
"GSE20347","GSM509794","E1566","Control"
"GSE20347","GSM509795","E1584","Control"
"GSE20347","GSM509796","E1589","Control"
"GSE20347","GSM509797","E1603","Control"
"GSE20347","GSM509798","E1610","Control"
"GSE20347","GSM509799","E1614","Control"
"GSE20347","GSM509800","E1635","Control"
"GSE20347","GSM509801","E1709","Control"
"GSE20347","GSM509802","E1796","Control"
"GSE20347","GSM509803","E2644","Control"
"GSE20347","GSM509804","E1507","Case"
"GSE20347","GSM509805","E1520","Case"
"GSE20347","GSM509806","E1521","Case"
"GSE20347","GSM509807","E1532","Case"
"GSE20347","GSM509808","E1535","Case"
"GSE20347","GSM509809","E1542","Case"
