context,module,cell_type,paired,n_case_patients,n_control_patients,n_pairs,case_patient_mean,control_patient_mean,paired_diff_mean,p_value,p_method,fdr_global,fdr_context
CRC,JAK_STAT,enteroendocrine cell of colon,True,9,15,6,0.34867605042678335,0.39015074270173516,-0.1263077317652377,0.15625,wilcoxon_paired,0.3982843137254902,0.29296875
CRC,JAK_STAT,intestinal crypt stem cell of colon,True,21,20,16,0.25179117936354584,0.22686873879458364,0.06666543485600097,0.104583740234375,wilcoxon_paired,0.3161834007085756,0.2139212868430398
CRC,JAK_STAT,malignant cell,True,28,20,19,0.24169597672630186,0.23685299669725043,0.006478883838626396,0.5152778625488281,wilcoxon_paired,0.7699554267970995,0.6819854063146255
CRC,JAK_STAT,secretory cell,True,19,18,13,0.2602069555786437,0.24614592528545604,-0.004523968778385629,0.587890625,wilcoxon_paired,0.8217525533840019,0.73486328125
CRC,JAK_STAT,tuft cell of colon,True,16,18,11,0.3787186397238294,0.32681624970667755,0.09018124334246112,0.46484375,wilcoxon_paired,0.7631458636281018,0.674773185483871
CRC,WNT_CTNNB1,BEST4+ colonocyte,True,9,16,8,0.4183040639869391,0.48475988332343867,-0.03626775095305813,0.9453125,wilcoxon_paired,0.993851825734401,0.989280523255814
CRC,WNT_CTNNB1,colon goblet cell,True,14,17,10,0.2529640335459024,0.32838563511650876,-0.11098789187820199,0.009765625,wilcoxon_paired,0.0781625770234257,0.04294655539772727
CRC,WNT_CTNNB1,colonocyte,True,14,20,13,0.2971178124548887,0.2289880817414629,0.055541370189722,0.305419921875,wilcoxon_paired,0.6257997928241841,0.47392746497844823
CRC,WNT_CTNNB1,early colonocyte,True,18,20,14,0.3913222636673832,0.5177857900836617,-0.11122747397844687,0.0008544921875,wilcoxon_paired,0.022216796875,0.009613037109375
CRC,WNT_CTNNB1,enteroendocrine cell of colon,True,9,15,6,0.25849634408950806,0.26686317044768226,-0.06650623463707052,0.21875,wilcoxon_paired,0.5078125,0.39375
CRC,WNT_CTNNB1,intestinal crypt stem cell of colon,True,21,20,16,0.47711951453293416,0.39800606576691366,0.11965298479945738,0.09344482421875,wilcoxon_paired,0.296288467035061,0.20023890904017858
