"disease","feature","k","est","se","p","ci_lo","ci_hi","I2","tau2","measures","cohorts","note","fdr"
"Asthma","IGF_INSR_AXIS",3,-0.818296397539505,0.23007314640754,0.0707632555645177,-1.80822124897195,0.171628453892944,63.838867104291,0.101814016687201,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.238988416282864
"COPD","IGF_INSR_AXIS",2,-0.210949165213156,0.294657119039042,0.604451033210723,-3.95492284669463,3.53302451626832,85.3109223126387,0.148391414952653,"SMDH 2","GSE76925;GSE47460","",0.647626107011489
"CRC","IGF_INSR_AXIS",3,-0.967024132798373,0.0858734957928121,0.00779369331806884,-1.33650796388444,-0.597540301712301,0,0,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",0.0232608663185879
"ESCC","IGF_INSR_AXIS",2,0.897992716188283,0.372143088279134,0.250110320492595,-3.83053355463873,5.6265189870153,59.2451924839728,0.179224010360515,"SMCRPH 2","GSE23400;GSE20347","",0.520891464313671
"HCC","IGF_INSR_AXIS",2,-1.0163101938081,0.169321925201109,0.105098450948527,-3.16774924173665,1.13512885412045,0,0,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.472001393376343
"IBD","IGF_INSR_AXIS",3,-0.558625769471262,0.112326891073282,0.0381342473710257,-1.04192937397199,-0.0753221649705336,0,0,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.0899691219878595
"LUAD","IGF_INSR_AXIS",3,-0.439947413609228,0.0730041014883716,0.0264479926719989,-0.754058710161077,-0.125836117057379,0,0,"SMCRPH 3","GSE32863;GSE19804;GSE10072","",0.0749359792373301
"NAFLD","IGF_INSR_AXIS",2,-1.03181476798273,0.654757935115315,0.359977291053871,-9.35130314419292,7.28767360822746,89.0932390754664,0.764719933501992,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"PAAD","IGF_INSR_AXIS",3,-0.554171891848725,0.362897712376629,0.266300542436819,-2.11559472462586,1.00725094092841,86.5583794473904,0.34146068217699,"SMCRPH 3","GSE15471;GSE28735;GSE62452","",0.41750933765563
"STAD","IGF_INSR_AXIS",3,0.0404899879353411,0.0676375338969949,0.610188349802832,-0.250530831920086,0.331510807790768,0,0,"SMCRPH 2|SMDH 1","GSE27342;GSE63089;GSE13911","",0.650867573123021
"Asthma","JAK_STAT",3,-0.164145345595669,0.0991379741869869,0.239614391371129,-0.59070162085314,0.262410929661802,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.370313150300835
"COPD","JAK_STAT",2,0.281843560148177,0.0533834187373329,0.119169166834585,-0.39645708784532,0.960144208141674,0,0,"SMDH 2","GSE76925;GSE47460","",0.415475115455989
"CRC","JAK_STAT",3,-0.0556158126152759,0.00927752184682226,0.0267169174948488,-0.095533767314816,-0.0156978579157358,0,0,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",0.0454187597412429
"ESCC","JAK_STAT",2,-0.135487811829347,0.316199526019373,0.74228256929028,-4.15318372691291,3.88220810325421,66.6838221729973,0.137720162065561,"SMCRPH 2","GSE23400;GSE20347","",0.74228256929028
"HCC","JAK_STAT",2,0.824473347310614,0.519655629269122,0.358030416897811,-5.77837747048855,7.42732416510978,87.5686194262243,0.47294495665435,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.472001393376343
"IBD","JAK_STAT",3,2.03673486748146,0.305213756447019,0.0217271623556673,0.723506065147608,3.34996366981531,73.9252236839189,0.196658072829048,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.0615602933410572
"LUAD","JAK_STAT",3,-1.01587408221567,0.0599381888295626,0.00346311476636996,-1.27376729399943,-0.757980870431916,0,0,"SMCRPH 3","GSE32863;GSE19804;GSE10072","",0.0294364755141446
"NAFLD","JAK_STAT",2,-0.0269141727452973,0.343565585686934,0.950230249583168,-4.39232884478726,4.33850049929666,62.630781276765,0.149461298955351,"SMDH 2","GSE33814;GSE66676","",0.950230249583168
"PAAD","JAK_STAT",3,0.681258109437736,0.21422025907061,0.0862739966164346,-0.240457273020063,1.60297349189553,63.7022450660993,0.0839203249400406,"SMCRPH 3","GSE15471;GSE28735;GSE62452","",0.197197706551851
"STAD","JAK_STAT",3,0.845020192263823,0.128914089540146,0.0224915450174434,0.290347633000749,1.3996927515269,26.651737715604,0.0152640089969986,"SMCRPH 2|SMDH 1","GSE27342;GSE63089;GSE13911","",0.116016373184081
"Asthma","PDGFR_KIT_CSF1R",3,0.355941293080135,0.110492076213691,0.0843488528057166,-0.119467740256388,0.831350326416659,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.238988416282864
"COPD","PDGFR_KIT_CSF1R",2,0.371803118091228,0.236940059267668,0.361202874199515,-2.63880578516514,3.38241202134759,77.6630378048515,0.0874888991755961,"SMDH 2","GSE76925;GSE47460","",0.593654657869055
"CRC","PDGFR_KIT_CSF1R",3,-1.08426207990351,0.0510960120737469,0.00221340915050818,-1.30411047573193,-0.864413684075091,0,0,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",0.0232608663185879
"ESCC","PDGFR_KIT_CSF1R",2,-0.239326856235967,0.110680583126867,0.275766069342532,-1.64565700576514,1.16700329329321,0,0,"SMCRPH 2","GSE23400;GSE20347","",0.520891464313671
"HCC","PDGFR_KIT_CSF1R",2,-0.109899227483877,0.0842752141656194,0.416471817685008,-1.18071735285721,0.960918897889454,0,0,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.472001393376343
"IBD","PDGFR_KIT_CSF1R",3,1.53187469773335,0.3256358865021,0.042338410347228,0.130776561770702,2.932972833696,80.2487854051153,0.249700223475359,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.0899691219878595
"LUAD","PDGFR_KIT_CSF1R",3,-1.10920048494009,0.302738626799607,0.067083821620989,-2.41177966394002,0.193378694059839,84.7296218020399,0.238795443042193,"SMCRPH 3","GSE32863;GSE19804;GSE10072","",0.114048372220049
"NAFLD","PDGFR_KIT_CSF1R",2,0.120762063282959,0.179956487878592,0.623732408875087,-2.16580191530537,2.40732604187129,0,0,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"PAAD","PDGFR_KIT_CSF1R",3,0.187578141818385,0.437366078266312,0.709787000282875,-1.69425620873398,2.06941249237075,90.9785734458211,0.520189830548746,"SMCRPH 3","GSE15471;GSE28735;GSE62452","",0.757106133635067
"STAD","PDGFR_KIT_CSF1R",3,-0.279981862768787,0.224538498139712,0.338650996130824,-1.24609304472346,0.686129319185889,71.9062578366671,0.102719269915471,"SMCRPH 2|SMDH 1","GSE27342;GSE63089;GSE13911","",0.49258326709938
"Asthma","PI3K_AKT",3,0.304545478307904,0.0415277592685394,0.0180909545526304,0.125865951530744,0.483225005085063,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.208457116511432
"COPD","PI3K_AKT",2,0.0802568755174248,0.020022389073766,0.15564593484738,-0.174151699361193,0.334665450396043,0,0,"SMDH 2","GSE76925;GSE47460","",0.415475115455989
"CRC","PI3K_AKT",3,-0.0455152757155661,0.0856139507492072,0.648120112570413,-0.413882374611279,0.322851823180147,0,0,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",0.734536127579801
"ESCC","PI3K_AKT",2,0.370094673460518,0.375058438854349,0.504240718320494,-4.3954746386529,5.13566398557394,77.9193935328611,0.220384018594269,"SMCRPH 2","GSE23400;GSE20347","",0.57147281409656
"HCC","PI3K_AKT",2,0.999382147842966,0.887475859767922,0.462287357645229,-10.2770678247809,12.2758321204669,95.3349500726447,1.50187468630732,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.491180317498055
"IBD","PI3K_AKT",3,0.208406096907188,0.177588068996172,0.361414565987533,-0.55569369293013,0.972505886744505,29.1901542473435,0.0264880972356674,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.47261904782985
"LUAD","PI3K_AKT",3,0.646203760277474,0.414243075567137,0.25913058921079,-1.13614033959128,2.42854786014623,92.1085122152629,0.478881385953978,"SMCRPH 3","GSE32863;GSE19804;GSE10072","",0.314658572613102
"NAFLD","PI3K_AKT",2,-0.29350259521451,0.0802483104127695,0.169909359954244,-1.31315405705126,0.72614886662224,0,0,"SMDH 2","GSE33814;GSE66676","",0.906183253089301
"PAAD","PI3K_AKT",3,0.367279269463256,0.102108075401461,0.0693471442830577,-0.0720563198923045,0.806614858818817,0,0,"SMCRPH 3","GSE15471;GSE28735;GSE62452","",0.184925718088154
"STAD","PI3K_AKT",3,0.727113691215136,0.12029830907118,0.0262975472454781,0.209511843305779,1.24471553912449,38.5591597516995,0.0206364713818342,"SMCRPH 2|SMDH 1","GSE27342;GSE63089;GSE13911","",0.116016373184081
"Asthma","RAS_MAPK",3,0.296147768171427,0.0710657530061802,0.0530441113357885,-0.00962348799231588,0.601919024335169,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.238988416282864
"COPD","RAS_MAPK",2,-0.237101474889345,0.105417207305615,0.266336808287633,-1.57655409363027,1.10235114385158,0,0,"SMDH 2","GSE76925;GSE47460","",0.499381515539311
"CRC","RAS_MAPK",3,-0.363393277878321,0.236317471304013,0.26394946305419,-1.38018529087203,0.653398735115383,80.4202214479813,0.125439773550298,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",0.320510062280088
"ESCC","RAS_MAPK",2,-0.489148841273993,0.428740996848329,0.458163333606076,-5.9368197260205,4.95852204347251,84.4405936589294,0.311701669014081,"SMCRPH 2","GSE23400;GSE20347","",0.556341190807378
"HCC","RAS_MAPK",2,0.883465534422435,0.117247642140819,0.0839970752183361,-0.606307011452559,2.37323808029743,0,0,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.472001393376343
"IBD","RAS_MAPK",3,0.243158977718673,0.147333036925488,0.240648350271795,-0.390763915791055,0.877081871228401,9.5199482630596,0.00674012424712101,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.340918496218377
"LUAD","RAS_MAPK",3,-0.0323011397984996,0.320102020645169,0.928827589235474,-1.40958897272575,1.34498669312876,89.0768684584304,0.276376344023343,"SMCRPH 3","GSE32863;GSE19804;GSE10072","",0.928827589235474
"NAFLD","RAS_MAPK",2,0.439053736821558,0.498444751266134,0.540276369394808,-5.89428732243761,6.77239479608073,79.9692279417039,0.399511806572861,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"PAAD","RAS_MAPK",3,1.14665447828512,0.0593782874951547,0.00267083821638034,0.891170327506241,1.40213862906399,0,0,"SMCRPH 3","GSE15471;GSE28735;GSE62452","",0.0427334114620854
"STAD","RAS_MAPK",3,0.866399321053655,0.263298994828361,0.0812574428143805,-0.266484817784881,1.99928345989219,82.6849421639035,0.179219995374756,"SMCRPH 2|SMDH 1","GSE27342;GSE63089;GSE13911","",0.181686613922595
"Asthma","RET_ALK_NTRK",3,0.0846109462172257,0.253019265318627,0.769885591664897,-1.00404308638517,1.17326497881962,72.5916423813637,0.139336449948912,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.769885591664897
"COPD","RET_ALK_NTRK",2,0.702221519290602,0.0826289275500171,0.0745668255091956,-0.347678551290462,1.75212158987167,0,0,"SMDH 2","GSE76925;GSE47460","",0.372834127545978
"CRC","RET_ALK_NTRK",3,-1.16660783866946,0.212185332058586,0.0315251911586168,-2.07956763686413,-0.253648040474791,70.1898875870925,0.0868120084059556,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",0.0487207499724078
"ESCC","RET_ALK_NTRK",2,-0.439919234041002,0.35161799095926,0.429273257390735,-4.90764941609178,4.02781094800978,71.7290530694654,0.181857302904978,"SMCRPH 2","GSE23400;GSE20347","",0.556341190807378
"HCC","RET_ALK_NTRK",2,-1.16964025428325,0.513438571211657,0.263334426754964,-7.69349585954758,5.35421535098109,82.4638523418977,0.437442440045332,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.472001393376343
