context,module,cell_type,comparison_type,n_pairs,n_case_patients,n_control_patients,paired_median_diff,case_patient_mean,control_patient_mean,p_paired,p_unpaired,test_used,p_used,fdr,fdr_unpaired
STAD,VEGF_PDGF_AXIS,enterocyte,same-cell-type,0,19,22,nan,0.056900153907684305,0.07511136243744138,nan,0.20880935037885517,mann-whitney (unpaired; reported as such),0.20880935037885517,0.43417235106704943,0.43417235106704943
STAD,VEGF_PDGF_AXIS,enteroendocrine cell,same-cell-type,0,23,27,nan,0.03611567126756561,0.044055987182476004,nan,0.46962822377113955,mann-whitney (unpaired; reported as such),0.46962822377113955,0.626170965028186,0.626170965028186
STAD,VEGF_PDGF_AXIS,epithelial cell,same-cell-type,0,28,34,nan,0.03457097898713744,0.04445106473858726,nan,0.1510837576857439,mann-whitney (unpaired; reported as such),0.1510837576857439,0.43417235106704943,0.43417235106704943
STAD,VEGF_PDGF_AXIS,foveolar cell of stomach,same-cell-type,0,28,34,nan,0.03797256084030493,0.051639742765084734,nan,0.06490412436321892,mann-whitney (unpaired; reported as such),0.06490412436321892,0.38942474617931355,0.38942474617931355
STAD,VEGF_PDGF_AXIS,intestine goblet cell,same-cell-type,0,22,21,nan,0.053526069461348906,0.04692090965535217,nan,0.534248116584068,mann-whitney (unpaired; reported as such),0.534248116584068,0.6410977399008816,0.6410977399008816
STAD,VEGF_PDGF_AXIS,mucous neck cell of gastric gland,same-cell-type,0,27,34,nan,0.046847933856332395,0.05352842280870649,nan,0.31289989641209204,mann-whitney (unpaired; reported as such),0.31289989641209204,0.5104553574501445,0.5104553574501445
STAD,VEGF_PDGF_AXIS,parietal cell,same-cell-type,0,19,31,nan,0.04255519222275216,0.0802035457337441,nan,0.0017952038621431468,mann-whitney (unpaired; reported as such),0.0017952038621431468,0.02154244634571776,0.02154244634571776
STAD,VEGF_PDGF_AXIS,peptic cell,same-cell-type,0,19,26,nan,0.03289469061761822,0.046455954771054284,nan,0.21708617553352472,mann-whitney (unpaired; reported as such),0.21708617553352472,0.43417235106704943,0.43417235106704943
STAD,VEGF_PDGF_AXIS,type EC enteroendocrine cell,same-cell-type,0,21,28,nan,0.048557508258317235,0.06095058811389766,nan,0.3403035716334296,mann-whitney (unpaired; reported as such),0.3403035716334296,0.5104553574501445,0.5104553574501445
STAD,VEGF_PDGF_AXIS,type G enteroendocrine cell,same-cell-type,0,13,27,nan,0.04710773533353439,0.0480153335330806,nan,0.6631220058840048,mann-whitney (unpaired; reported as such),0.6631220058840048,0.7234058246007325,0.7234058246007325
STAD,VEGF_PDGF_AXIS,type X enteroendocrine cell,same-cell-type,0,13,27,nan,0.06182127860908671,0.06358188259971172,nan,0.7282666106700683,mann-whitney (unpaired; reported as such),0.7282666106700683,0.7282666106700683,0.7282666106700683
STAD,HGF_MET_AXIS,BEST4+ enterocyte,same-cell-type,0,5,7,nan,0.0,0.0723424603864228,nan,0.06639318527112506,mann-whitney (unpaired; reported as such),0.06639318527112506,0.327261472531469,0.327261472531469
