"disease","feature","n_analysed","n_fdr","pos","neg","median_d_adj","median_beta_base","median_beta_adj","majority","joint_robust","n_rows","n_est","status"
"LUAD","JAK_STAT",3,0,1,2,-0.185442803571653,-0.367209393555242,-0.0743756877316465,2,FALSE,3,3,"estimated, not significant"
"LUAD","PDGFR_KIT_CSF1R",3,1,3,0,0.850231206168549,-0.411250266290827,0.391008089515633,3,FALSE,3,3,"estimated"
"LUAD","PI3K_AKT",3,1,1,2,-0.0755625418037519,0.138376761482755,-0.0175186778360398,2,FALSE,3,3,"estimated"
"LUAD","RAS_MAPK",3,0,2,1,0.159308759257814,0.0626865965763892,0.0515807297240868,2,FALSE,3,3,"estimated, not significant"
"LUAD","RET_ALK_NTRK",3,0,0,3,-0.998161499931668,-0.425330070033383,-0.369752565319926,3,FALSE,3,3,"estimated, not significant"
"LUAD","SRC_FAK",3,0,3,0,0.276402065319324,-0.139652692477528,0.0960957394641576,3,FALSE,3,3,"estimated, not significant"
"LUAD","TAM_AXL_AXIS",3,0,2,1,0.217059400363776,-0.153436154469027,0.105537335032736,2,FALSE,3,3,"estimated, not significant"
"LUAD","TGFB_SMAD",3,0,0,3,-0.787173867817019,-0.295602901694183,-0.337957615380789,3,FALSE,3,3,"estimated, not significant"
"LUAD","TIE_ANGPT_AXIS",3,0,3,0,0.302892740978251,-0.788916221099312,0.167763265120353,3,FALSE,3,3,"estimated, not significant"
"LUAD","VEGF_PDGF_AXIS",3,0,3,0,0.637682898122992,-0.370674834467102,0.244785070325027,3,FALSE,3,3,"estimated, not significant"
"LUAD","WNT_CTNNB1",3,0,0,3,-0.185126163713536,-0.373124988768087,-0.071369227410034,3,FALSE,3,3,"estimated, not significant"
"NAFLD","EPH_RECEPTORS",2,1,0,2,-0.37735383244905,-0.0658478484850425,-0.157814814204883,2,FALSE,2,2,"estimated"
"NAFLD","ERBB_LIGANDS",2,0,1,1,0.121477746916881,0.0630073795394859,0.0403057312778118,1,FALSE,2,2,"estimated, not significant"
