context,module,cell_type,comparison_type,n_donors_a,n_donors_b,n_overlap_donors,n_pairs,median_diff,mean_a,mean_b,p_paired,p_unpaired,test_used,p_used,fdr
CRC,JAK_STAT,colonocyte,tumour-vs-adjacent,14,20,13,13,0.06330085933484414,0.31116182687472016,0.2460476199357459,0.039794921875,nan,wilcoxon-signed-rank (paired donors),0.039794921875,0.1790771484375
CRC,JAK_STAT,early colonocyte,tumour-vs-adjacent,18,20,14,14,0.06362248562121024,0.2576160923978865,0.21388323076712695,0.0067138671875,nan,wilcoxon-signed-rank (paired donors),0.0067138671875,0.0604248046875
CRC,JAK_STAT,enteroendocrine cell of colon,tumour-vs-adjacent,9,15,6,6,-0.02841057814657688,0.34867605042678335,0.39015074270173516,0.15625,nan,wilcoxon-signed-rank (paired donors),0.15625,0.28125
CRC,JAK_STAT,intestinal crypt stem cell of colon,tumour-vs-adjacent,21,20,16,16,0.06852884829095027,0.25179117936354584,0.22686873879458364,0.104583740234375,nan,wilcoxon-signed-rank (paired donors),0.104583740234375,0.23531341552734375
CRC,JAK_STAT,malignant cell,tumour-vs-adjacent,28,20,19,19,0.004576053666411839,0.24169597672630186,0.23685299669725043,0.5152778625488281,nan,wilcoxon-signed-rank (paired donors),0.5152778625488281,0.661376953125
CRC,JAK_STAT,secretory cell,tumour-vs-adjacent,19,18,13,13,-0.005528671793214313,0.2602069555786437,0.24614592528545604,0.587890625,nan,wilcoxon-signed-rank (paired donors),0.587890625,0.661376953125
CRC,JAK_STAT,tuft cell of colon,tumour-vs-adjacent,16,18,11,11,0.14490145580335095,0.3787186397238294,0.32681624970667755,0.46484375,nan,wilcoxon-signed-rank (paired donors),0.46484375,0.661376953125
CRC,JAK_STAT,malignant cell vs BEST4+ colonocyte,cell-identity,28,16,16,0,nan,0.24169597672630186,0.32528951830499886,nan,0.0004227815109413188,mann-whitney (cell-identity; unpaired),0.0004227815109413188,0.0016911260437652753
CRC,JAK_STAT,malignant cell vs colonocyte,cell-identity,28,20,20,0,nan,0.24169597672630186,0.2460476199357459,nan,0.45785645107132533,mann-whitney (cell-identity; unpaired),0.45785645107132533,0.6104752680951004
CRC,JAK_STAT,malignant cell vs early colonocyte,cell-identity,28,20,20,0,nan,0.24169597672630186,0.21388323076712695,nan,0.22918988375501026,mann-whitney (cell-identity; unpaired),0.22918988375501026,0.4583797675100205
CRC,JAK_STAT,malignant cell vs secretory cell,cell-identity,28,18,18,0,nan,0.24169597672630186,0.24614592528545604,nan,0.8306867728877789,mann-whitney (cell-identity; unpaired),0.8306867728877789,0.8306867728877789
CRC,SRC_FAK,BEST4+ colonocyte,tumour-vs-adjacent,9,16,8,8,-0.007106062707320809,0.24591502397263273,0.2962515925021598,0.546875,nan,wilcoxon-signed-rank (paired donors),0.546875,1.0
CRC,SRC_FAK,colon goblet cell,tumour-vs-adjacent,14,17,10,10,-0.004442297259951447,0.21335001901530504,0.20135037472028888,1.0,nan,wilcoxon-signed-rank (paired donors),1.0,1.0
CRC,SRC_FAK,colonocyte,tumour-vs-adjacent,14,20,13,13,-0.019603140166272293,0.23556714139279863,0.18279314131156288,0.946044921875,nan,wilcoxon-signed-rank (paired donors),0.946044921875,1.0
CRC,SRC_FAK,early colonocyte,tumour-vs-adjacent,18,20,14,14,-0.014390638676449838,0.1907325063612039,0.21470422419946833,0.5830078125,nan,wilcoxon-signed-rank (paired donors),0.5830078125,1.0
CRC,SRC_FAK,enteroendocrine cell of colon,tumour-vs-adjacent,9,15,6,6,0.04843056366428153,0.22241034634687284,0.27702436759100324,1.0,nan,wilcoxon-signed-rank (paired donors),1.0,1.0
CRC,SRC_FAK,intestinal crypt stem cell of colon,tumour-vs-adjacent,21,20,16,16,0.09742096950521345,0.2737871640337887,0.21061696756768775,0.0506591796875,nan,wilcoxon-signed-rank (paired donors),0.0506591796875,0.4559326171875
CRC,SRC_FAK,malignant cell,tumour-vs-adjacent,28,20,19,19,0.02954724045964205,0.23620204289122512,0.19890454937209248,0.21011734008789062,nan,wilcoxon-signed-rank (paired donors),0.21011734008789062,0.9455280303955078
CRC,SRC_FAK,secretory cell,tumour-vs-adjacent,19,18,13,13,0.0011921730717085466,0.2174228791002035,0.21624078949444325,0.83935546875,nan,wilcoxon-signed-rank (paired donors),0.83935546875,1.0
