context,module,cell_type,comparison_type,n_donors_a,n_donors_b,n_overlap_donors,median_diff,test_used,p_used,fdr_family,fdr_global
CRC,SRC_FAK,malignant cell vs secretory cell,cell-identity,26,13,12,nan,mann-whitney (cell-identity; unpaired),0.3182609246128816,0.4665829048731085,0.5258223971865
CRC,WNT_CTNNB1,BEST4+ colonocyte,tumour-vs-adjacent,3,12,2,-0.08623384042114535,not testable,nan,nan,nan
CRC,WNT_CTNNB1,colon goblet cell,tumour-vs-adjacent,7,15,6,-0.11495627868583111,wilcoxon-signed-rank (paired donors),0.0625,0.09765625,0.19
CRC,WNT_CTNNB1,colonocyte,tumour-vs-adjacent,7,17,7,0.03770118208119161,wilcoxon-signed-rank (paired donors),0.578125,0.578125,0.7510683760683761
CRC,WNT_CTNNB1,early colonocyte,tumour-vs-adjacent,13,18,10,-0.11062015602256062,wilcoxon-signed-rank (paired donors),0.009765625,0.0390625,0.049479166666666664
CRC,WNT_CTNNB1,intestinal crypt stem cell of colon,tumour-vs-adjacent,6,9,2,0.260343415829306,not testable,nan,nan,nan
CRC,WNT_CTNNB1,malignant cell,tumour-vs-adjacent,26,10,8,0.29916752553045467,wilcoxon-signed-rank (paired donors),0.015625,0.0390625,0.059375
CRC,WNT_CTNNB1,secretory cell,tumour-vs-adjacent,11,13,7,-0.07985830185986359,wilcoxon-signed-rank (paired donors),0.078125,0.09765625,0.21689026445127002
CRC,WNT_CTNNB1,tuft cell of colon,tumour-vs-adjacent,3,8,2,-0.13780678146838451,not testable,nan,nan,nan
CRC,WNT_CTNNB1,malignant cell vs BEST4+ colonocyte,cell-identity,26,12,12,nan,mann-whitney (cell-identity; unpaired),0.004944423157418364,0.004944423157418364,0.032676187822938754
CRC,WNT_CTNNB1,malignant cell vs colonocyte,cell-identity,26,17,16,nan,mann-whitney (cell-identity; unpaired),7.21082461149639e-07,2.884329844598556e-06,3.653484469824838e-05
CRC,WNT_CTNNB1,malignant cell vs early colonocyte,cell-identity,26,18,17,nan,mann-whitney (cell-identity; unpaired),0.0037284701172095435,0.004944423157418364,0.026987021800754792
CRC,WNT_CTNNB1,malignant cell vs secretory cell,cell-identity,26,13,12,nan,mann-whitney (cell-identity; unpaired),6.971510641254896e-05,0.00013943021282509792,0.0011774106860786048
IBD,ERBB_RECEPTORS,T cell of anorectum,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.03199741435035553,0.053329023917259216,0.10808015513897867
IBD,ERBB_RECEPTORS,colon epithelial cell,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.7502693385046326,0.7502693385046326,0.8944970183925209
IBD,ERBB_RECEPTORS,myeloid cell,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.012142718755417867,0.030356796888544667,0.059375
IBD,ERBB_RECEPTORS,plasma cell,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.3845076492135316,0.48063456151691447,0.5729917909848706
IBD,ERBB_RECEPTORS,stromal cell of lamina propria of colon,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.001292824822236587,0.006464124111182934,0.014036383784282944
IBD,ERBB_LIGANDS,T cell of anorectum,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.8916181857358327,0.8916181857358328,0.9479649567656824
IBD,ERBB_LIGANDS,colon epithelial cell,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.5532212885154062,0.6915266106442577,0.7376283846872083
IBD,ERBB_LIGANDS,myeloid cell,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.0020469726352079294,0.010234863176039647,0.017285546697311402
IBD,ERBB_LIGANDS,plasma cell,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.24962292609351436,0.4160382101558573,0.45714078031583355
IBD,ERBB_LIGANDS,stromal cell of lamina propria of colon,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.06679594914889034,0.16698987287222583,0.19524969751214097
IBD,VEGF_PDGF_AXIS,T cell of anorectum,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.33548804137039434,0.559146735617324,0.536780866192631
IBD,VEGF_PDGF_AXIS,colon epithelial cell,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.8916181857358327,0.9635854341736694,0.9479649567656824
IBD,VEGF_PDGF_AXIS,myeloid cell,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.9635854341736694,0.9635854341736694,0.9971570011813131
IBD,VEGF_PDGF_AXIS,plasma cell,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.1797026502908856,0.44925662572721403,0.38032299080805027
IBD,VEGF_PDGF_AXIS,stromal cell of lamina propria of colon,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.013466925231631115,0.06733462615815558,0.059375
IBD,HGF_MET_AXIS,T cell of anorectum,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.3947683705715457,0.6579472842859094,0.5769691569891822
IBD,HGF_MET_AXIS,colon epithelial cell,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.009696186166774402,0.04848093083387201,0.049479166666666664
IBD,HGF_MET_AXIS,myeloid cell,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.7786177188876373,0.7786177188876373,0.9034342997780219
IBD,HGF_MET_AXIS,plasma cell,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.6057226196064835,0.7571532745081044,0.7672486515015459
