"disease","feature","k","est","p","fdr","scenario"
"NAFLD","FGFR_AXIS",2,-0.0795298757752892,0.832603993498374,0.919661679056586,"coverage >= 0.60"
"PAAD","FGFR_AXIS",3,-0.290097404478526,0.475742769671553,0.543706022481775,"coverage >= 0.60"
"STAD","FGFR_AXIS",3,-0.0308673640967853,0.889060756786147,0.889060756786147,"coverage >= 0.60"
"Asthma","HGF_MET_AXIS",3,-0.265868861925229,0.193199964161833,0.364933265639017,"coverage >= 0.60"
"CRC","HGF_MET_AXIS",3,0.945421350106088,0.0421875585447105,0.0796876105844532,"coverage >= 0.60"
"ESCC","HGF_MET_AXIS",2,0.768043668852381,0.164441749182588,0.399358533729142,"coverage >= 0.60"
"HCC","HGF_MET_AXIS",2,-0.676701112697302,0.321384319733022,0.472001393376343,"coverage >= 0.60"
"IBD","HGF_MET_AXIS",3,1.56109039617935,0.0465623838920072,0.100831999893851,"coverage >= 0.60"
"LUAD","HGF_MET_AXIS",3,0.725839444670172,0.0958824485470312,0.148181965936321,"coverage >= 0.60"
"NAFLD","HGF_MET_AXIS",2,-0.149120404640072,0.548243118217893,0.919661679056586,"coverage >= 0.60"
"PAAD","HGF_MET_AXIS",3,1.50045460986676,0.00972166570376184,0.0518488837533965,"coverage >= 0.60"
"STAD","HGF_MET_AXIS",3,0.850905794569103,0.0447122595132573,0.143079230442423,"coverage >= 0.60"
"Asthma","IGF_INSR_AXIS",3,-0.818296397539505,0.0707632555645177,0.238988416282864,"coverage >= 0.60"
"COPD","IGF_INSR_AXIS",2,-0.210949165213156,0.604451033210723,0.647626107011489,"coverage >= 0.60"
"CRC","IGF_INSR_AXIS",3,-0.908539715185817,0.0162859690563893,0.0461435789931031,"coverage >= 0.60"
"ESCC","IGF_INSR_AXIS",2,0.897992716188283,0.250110320492595,0.520891464313671,"coverage >= 0.60"
"HCC","IGF_INSR_AXIS",2,-1.0163101938081,0.105098450948527,0.472001393376343,"coverage >= 0.60"
"IBD","IGF_INSR_AXIS",3,-0.533700748000128,0.0533832272520004,0.100831999893851,"coverage >= 0.60"
"LUAD","IGF_INSR_AXIS",3,-0.439947413609227,0.0264479926719989,0.0749359792373302,"coverage >= 0.60"
"NAFLD","IGF_INSR_AXIS",2,-1.03181476798273,0.359977291053871,0.919661679056586,"coverage >= 0.60"
"PAAD","IGF_INSR_AXIS",3,-0.554171891848725,0.266300542436819,0.41750933765563,"coverage >= 0.60"
"STAD","IGF_INSR_AXIS",3,0.0581106747826554,0.309050034356514,0.449527322700384,"coverage >= 0.60"
"Asthma","JAK_STAT",3,-0.164145345595669,0.239614391371129,0.370313150300835,"coverage >= 0.60"
"COPD","JAK_STAT",2,0.281843560148177,0.119169166834585,0.415475115455989,"coverage >= 0.60"
