"disease","feature","k","est","se","p","ci_lo","ci_hi","I2","tau2","measures","cohorts","fdr"
"COPD","IGF_INSR_AXIS",2,-0.210949165213156,0.294657119039042,0.604451033210723,-3.95492284669463,3.53302451626832,85.3109223126387,0.148391414952654,"SMDH 2","GSE47460;GSE76925",0.647626107011489
"CRC","IGF_INSR_AXIS",3,-0.908539715185817,0.127920450291375,0.0192533737937177,-1.45893698982278,-0.358142440548854,20.1903442816012,0.0105361682335776,"SMCRPH 2|SMDH 1","GSE23878;GSE41258;GSE44076",0.0751705726157372
"ESCC","IGF_INSR_AXIS",2,0.897992716188286,0.372143088279137,0.250110320492596,-3.83053355463876,5.62651898701533,59.2451924839731,0.179224010360519,"SMCRPH 2","GSE20347;GSE23400",0.531484431046767
"HCC","IGF_INSR_AXIS",2,-1.0163101938081,0.193996107297513,0.120075289041104,-3.48126445115121,1.44864406353501,0,0,"SMCRPH 1|SMDH 1","GSE57957;GSE62232",0.512913904699689
"IBD","IGF_INSR_AXIS",3,-0.533700748000128,0.144804240560402,0.0663701843912717,-1.15674310892664,0.0893416129263819,0,0,"SMCRPH 1|SMDH 2","GSE179285;GSE75214;GSE87473",0.12536590385018
"LUAD","IGF_INSR_AXIS",3,-0.439947413609228,0.0996516969831129,0.0476673885282348,-0.868714059657784,-0.0111807675606705,0,0,"SMCRPH 3","GSE10072;GSE19804;GSE32863",0.130215398348004
"NAFLD","IGF_INSR_AXIS",2,-1.03181476798273,0.654757935115317,0.359977291053871,-9.35130314419294,7.28767360822748,89.0932390754664,0.764719933501995,"SMDH 2","GSE33814;GSE66676",0.919661679056586
"PAAD","IGF_INSR_AXIS",3,-0.554171891848724,0.362897712376629,0.266300542436819,-2.11559472462586,1.00725094092841,86.5583794473904,0.34146068217699,"SMCRPH 3","GSE15471;GSE28735;GSE62452",0.426080867898911
"STAD","IGF_INSR_AXIS",3,0.0581106747826556,0.107637344679042,0.643354817317378,-0.405015440123607,0.521236789688918,0,0,"SMCRPH 3","GSE13911;GSE27342;GSE63089",0.729653320767196
"Asthma","JAK_STAT",3,-0.16414534559567,0.130520551157051,0.335476201660486,-0.725729951319961,0.397439260128622,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472",0.475257952352356
"COPD","JAK_STAT",2,0.281843560148177,0.10987021271298,0.236635295338293,-1.11418985699001,1.67787697728637,0,0,"SMDH 2","GSE47460;GSE76925",0.647626107011489
"CRC","JAK_STAT",3,-0.0522880187062402,0.106298384202869,0.671480472269072,-0.509653051664673,0.405077014252193,0,0,"SMCRPH 2|SMDH 1","GSE23878;GSE41258;GSE44076",0.807415317898506
"ESCC","JAK_STAT",2,-0.135487811829346,0.316199526019373,0.742282569290281,-4.1531837269129,3.88220810325421,66.6838221729973,0.137720162065561,"SMCRPH 2","GSE20347;GSE23400",0.742282569290281
"HCC","JAK_STAT",2,0.824473347310616,0.519655629269123,0.358030416897811,-5.77837747048856,7.42732416510979,87.5686194262244,0.472944956654352,"SMCRPH 1|SMDH 1","GSE57957;GSE62232",0.512913904699689
"IBD","JAK_STAT",3,2.27192485109385,0.161185177383032,0.00499572287188958,1.5784010076316,2.96544869455611,0,0,"SMCRPH 1|SMDH 2","GSE179285;GSE75214;GSE87473",0.0592386217759894
"LUAD","JAK_STAT",3,-1.01587408221567,0.107153533612237,0.0109435513235481,-1.47691852611466,-0.554829638316681,0,0,"SMCRPH 3","GSE10072;GSE19804;GSE32863",0.072160231157351
"NAFLD","JAK_STAT",2,-0.0269141727452971,0.343565585686934,0.950230249583168,-4.39232884478726,4.33850049929666,62.6307812767651,0.149461298955351,"SMDH 2","GSE33814;GSE66676",0.950230249583168
"PAAD","JAK_STAT",3,0.681258109437736,0.21422025907061,0.0862739966164345,-0.240457273020062,1.60297349189553,63.7022450660992,0.0839203249400403,"SMCRPH 3","GSE15471;GSE28735;GSE62452",0.22297401168447
"STAD","JAK_STAT",3,0.869652032264055,0.143751210839664,0.0262520607097591,0.251140492539982,1.48816357198813,30.1888968319255,0.0193049090411622,"SMCRPH 3","GSE13911;GSE27342;GSE63089",0.128614721881009
"Asthma","PDGFR_KIT_CSF1R",3,0.355941293080135,0.131308540946565,0.113404753821838,-0.209033759063021,0.920916345223291,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472",0.399431306345992
"COPD","PDGFR_KIT_CSF1R",2,0.371803118091229,0.236940059267669,0.361202874199515,-2.63880578516514,3.3824120213476,77.6630378048516,0.0874888991755964,"SMDH 2","GSE47460;GSE76925",0.647626107011489
