"context","feature","n","events","hazard_ratio_per_1sd","ci_low","ci_high","p_value","fdr"
"HCC","TIE_ANGPT_AXIS",360,129,1.04869775347334,0.882288582983585,1.24649349356989,0.589633720798665,0.806081542357668
"HCC","VEGF_PDGF_AXIS",360,129,0.994089096164848,0.841374463387022,1.17452237275625,0.944459789077501,0.981604145326129
"HCC","WNT_CTNNB1",360,129,1.01749136690508,0.852808594602104,1.21397543162591,0.847358469812092,0.938599045499954
"LUAD","EGFR",503,182,1.13803852323568,0.984996962352709,1.31485855273602,0.079290977266258,0.199149431273392
"LUAD","EPH_RECEPTORS",503,182,1.2038076307189,1.03023561946798,1.40662270299429,0.0195472378361647,0.0848005434485004
"LUAD","ERBB_LIGANDS",503,182,1.18121821099673,1.02011381870226,1.36776547519504,0.0260042630051106,0.096843462225929
"LUAD","ERBB_RECEPTORS",503,182,1.01579022163205,0.876619279457541,1.17705576245345,0.834922680618042,0.938599045499954
"LUAD","FGFR_AXIS",503,182,0.96314888453538,0.830827839788795,1.11654392084113,0.618511827784867,0.821277944945558
"LUAD","HGF_MET_AXIS",503,182,1.04979627746021,0.907916043129418,1.21384816636863,0.51184279864805,0.738445082907325
"LUAD","IGF_INSR_AXIS",503,182,1.02808444720055,0.891610637786072,1.18544753256887,0.703085783357007,0.903967435744723
"LUAD","JAK_STAT",503,182,0.998292572542287,0.865108832699142,1.15197998532016,0.981338528321303,0.984848997553299
"LUAD","PDGFR_KIT_CSF1R",503,182,0.89399703056634,0.778572960015193,1.02653281286039,0.112131383548772,0.273903532004198
"LUAD","PI3K_AKT",503,182,1.09638191804381,0.946323325217857,1.27023531829008,0.220463405790799,0.425179425453683
"LUAD","RAS_MAPK",503,182,1.12412183887906,0.971780288136301,1.300345277705,0.115325593126049,0.273903532004198
"LUAD","RET_ALK_NTRK",503,182,0.74328413457026,0.633562372761103,0.872007758756502,0.000272005886964087,0.00489610596535357
"LUAD","SRC_FAK",503,182,1.02390661729531,0.888481903109522,1.17997311737243,0.744123745852984,0.916204659682388
"LUAD","TAM_AXL_AXIS",503,182,1.04615940332447,0.911999740853575,1.20005461420403,0.519285226815936,0.738445082907325
"LUAD","TGFB_SMAD",503,182,1.14749908408742,0.989512782477886,1.33070958889902,0.0686876853334367,0.182730859654844
"LUAD","TIE_ANGPT_AXIS",503,182,0.956452265365172,0.833498447909324,1.09754365855963,0.52594603086547,0.738445082907325
"LUAD","VEGF_PDGF_AXIS",503,182,1.1738840020822,1.01363507694774,1.35946721032383,0.0322893414073741,0.105841264054133
"LUAD","WNT_CTNNB1",503,182,1.06325883997921,0.920741216665406,1.22783616105323,0.403512336708884,0.631584527022601
"PAAD","EGFR",177,93,1.38462115337695,1.14095435207148,1.68032641700182,0.000983507800203872,0.0132773553027523
"PAAD","EPH_RECEPTORS",177,93,1.49712781936381,1.18559659230574,1.8905180076083,0.000698430099618251,0.0107757786798244
"PAAD","ERBB_LIGANDS",177,93,1.54390242541968,1.2602448763498,1.89140598303464,2.75115333811838e-05,0.00297124560516785
"PAAD","ERBB_RECEPTORS",177,93,1.55726634308402,1.2364025082956,1.96139885436279,0.000168152894837135,0.00454012816060265
"PAAD","FGFR_AXIS",177,93,1.14201605433297,0.929715419879345,1.40279556568341,0.205699206138073,0.411398412276145
"PAAD","HGF_MET_AXIS",177,93,1.63886817459116,1.27516205000768,2.10631181634645,0.000114065953056695,0.004106374310041
