"accession","module","n_members","n_present","coverage","missing"
"GSE76925","PI3K_AKT",9,9,1,""
"GSE76925","RAS_MAPK",12,12,1,""
"GSE76925","RET_ALK_NTRK",6,5,0.833,"NTRK1"
"GSE76925","SRC_FAK",5,5,1,""
"GSE76925","TAM_AXL_AXIS",3,3,1,""
"GSE76925","TGFB_SMAD",5,4,0.8,"TGFB1"
"GSE76925","TIE_ANGPT_AXIS",3,3,1,""
"GSE76925","VEGF_PDGF_AXIS",9,8,0.889,"FLT4"
"GSE76925","WNT_CTNNB1",4,4,1,""
"GSE10072","EPH_RECEPTORS",4,4,1,""
"GSE10072","ERBB_LIGANDS",6,6,1,""
"GSE10072","ERBB_RECEPTORS",4,4,1,""
"GSE10072","FGFR_AXIS",8,7,0.875,"FGF10"
"GSE10072","HGF_MET_AXIS",3,3,1,""
"GSE10072","IGF_INSR_AXIS",4,3,0.75,"IGF2"
"GSE10072","JAK_STAT",9,9,1,""
"GSE10072","PDGFR_KIT_CSF1R",5,5,1,""
"GSE10072","PI3K_AKT",9,8,0.889,"RPTOR"
"GSE10072","RAS_MAPK",12,11,0.917,"BRAF"
"GSE10072","RET_ALK_NTRK",6,6,1,""
"GSE10072","SRC_FAK",5,5,1,""
"GSE10072","TAM_AXL_AXIS",3,3,1,""
"GSE10072","TGFB_SMAD",5,5,1,""
"GSE10072","TIE_ANGPT_AXIS",3,3,1,""
"GSE10072","VEGF_PDGF_AXIS",9,9,1,""
"GSE10072","WNT_CTNNB1",4,3,0.75,"AXIN2"
"GSE16879","EPH_RECEPTORS",4,4,1,""
"GSE16879","ERBB_LIGANDS",6,6,1,""
"GSE16879","ERBB_RECEPTORS",4,4,1,""
"GSE16879","FGFR_AXIS",8,8,1,""
"GSE16879","HGF_MET_AXIS",3,3,1,""
"GSE16879","IGF_INSR_AXIS",4,3,0.75,"IGF2"
"GSE16879","JAK_STAT",9,9,1,""
"GSE16879","PDGFR_KIT_CSF1R",5,5,1,""
"GSE16879","PI3K_AKT",9,9,1,""
"GSE16879","RAS_MAPK",12,12,1,""
"GSE16879","RET_ALK_NTRK",6,6,1,""
"GSE16879","SRC_FAK",5,5,1,""
"GSE16879","TAM_AXL_AXIS",3,3,1,""
"GSE16879","TGFB_SMAD",5,5,1,""
