accession,disease_e,sample,epic_cancer,epic_caf,epic_endo,epic_immune,pos,disease_x,epi,fib,end,imm
GSE41258,CRC,GSM1012376,0.679936468054317,0.019134774542593,0.0459754889152376,0.254953268487852,60,CRC,0.505548591557093,0.0664800942564515,0.0087766314251674,0.13484283690443
GSE41258,CRC,GSM1012379,0.677876167941251,0.0395777352285444,0.0542257631278869,0.228320333702318,61,CRC,0.419647731571726,0.0586106493095517,0.0447357154564987,0.435659779410889
GSE41258,CRC,GSM1012380,0.664611179562418,0.0129378548621494,0.0608553554561325,0.2615956101193,62,CRC,0.440959266631627,0.329454875256188,0.0633929275991489,0.428599324966281
GSE41258,CRC,GSM1012381,0.699428858033545,0.0288798814693064,0.0599354622425182,0.211755798254631,63,CRC,0.430801344276727,0.028621401640927,0.0678623037137094,0.417944804521888
GSE41258,CRC,GSM1012384,0.680157883847092,0.0249237229336163,0.0478591560515067,0.247059237167785,64,CRC,0.4946807519615,0.0,0.0369329024162222,0.425786168850269
GSE41258,CRC,GSM1012385,0.693994927079281,0.0282446029111125,0.0320135707174773,0.245746899292129,65,CRC,0.463517634604441,0.0009341861856755,0.0020926832952484,0.415801794874219
GSE41258,CRC,GSM1012386,0.711925305698009,0.0153970686449793,0.0412177484308099,0.231459877226202,66,CRC,0.54149914922493,0.0,3.7828992906722704e-19,0.287245615419591
GSE41258,CRC,GSM1012387,0.681852659247996,0.0211387146826597,0.0598964099627361,0.237112216106608,67,CRC,0.443698791790126,0.0,0.0568230635147023,0.300527905266289
GSE41258,CRC,GSM1012389,0.650186108402381,0.0220445648211655,0.0565418512912558,0.271227475485197,68,CRC,0.451377255764389,1.2434307931330298e-18,0.0314394958924917,0.38971736803946
GSE41258,CRC,GSM1012391,0.720460431128016,0.0256971409354682,0.0398659422835204,0.213976485652996,69,CRC,0.50386361673704,3.43785646423114e-18,0.0,0.343139080200264
GSE41258,CRC,GSM1012392,0.73100365035554,0.0290614614054585,0.05620845764047,0.183726430598532,70,CRC,0.463167852514454,0.0879905256983014,0.0829727801182238,0.233746905283071
GSE41258,CRC,GSM1012393,0.670210710529411,0.0246213699196623,0.0472081173992023,0.257959802151724,71,CRC,0.431634648626165,0.0792044566831606,0.0,0.409390385173116
GSE41258,CRC,GSM1012395,0.628933797124409,0.024768410153018,0.069789647646935,0.276508145075638,72,CRC,0.410950201376944,0.149712094099515,0.0787497225432816,0.439306576095048
GSE41258,CRC,GSM1012396,0.683491100221114,0.0183447750076505,0.0312532749933435,0.266910849777892,73,CRC,0.385147686707523,0.0,0.0,0.493748305260817
