accession,disease,feature,paired,patient_ids_available,n_both_arm_patients,n_case,n_control,npair,r_emp,measure,yi,vi,mean_case,sd_case,mean_ctrl,sd_ctrl,beta_base,se_base,p_base,not_estimable_reason
GSE15471,PAAD,EPH_RECEPTORS,TRUE,TRUE,36,36,36,36,-0.0903785171536068,SMCRPH,0.152722729244031,0.0624415585762092,0.0061874727601019,0.370027749882337,-0.054643729641832,0.416577589797662,0.0608312024019337,0.0969421742784072,0.534404364492284,
GSE15471,PAAD,ERBB_LIGANDS,TRUE,TRUE,36,36,36,36,0.160245501273097,SMCRPH,0.407487897371947,0.0498153589584017,0.0855299998951567,0.411724582593759,-0.0619379294698163,0.294396547491306,0.147467929364973,0.0776995012711895,0.0659781057048035,
GSE15471,PAAD,ERBB_RECEPTORS,TRUE,TRUE,36,36,36,36,0.266971517836096,SMCRPH,-0.0512494481729437,0.0419318497073474,0.0298845846735445,0.45515349830693,0.0541791107688795,0.481630758597633,-0.024294526095335,0.0945874196420499,0.798800543323683,
GSE15471,PAAD,FGFR_AXIS,TRUE,TRUE,36,36,36,36,-0.11403365132895,SMCRPH,0.388375424926995,0.0647377856592253,0.0758602997476274,0.325397074287304,-0.0570555485272705,0.351124381387335,0.132915848274898,0.0842003862812293,0.123432247227657,
GSE15471,PAAD,HGF_MET_AXIS,TRUE,TRUE,36,36,36,36,-0.178320925972338,SMCRPH,1.91824372468491,0.0953683184427362,0.452422477996193,0.344649718586841,-0.300956654537123,0.427668497528503,0.753379132533316,0.0991983553186337,6.63638258006572e-09,
GSE15471,PAAD,IGF_INSR_AXIS,TRUE,TRUE,36,36,36,36,0.0575476990384441,SMCRPH,0.172446568353235,0.0540721693061503,0.0646569281877008,0.423023579839249,-0.0110024380414522,0.4447148505352,0.0756593662291532,0.0993126293868963,0.451264675178368,
GSE15471,PAAD,JAK_STAT,TRUE,TRUE,36,36,36,36,0.147304815349327,SMCRPH,1.13605093663251,0.060481103749303,0.29312628185231,0.362390169227455,-0.252135579236488,0.565090225943767,0.545261861088799,0.104126327148094,7.8408330124773e-06,
GSE15471,PAAD,PDGFR_KIT_CSF1R,TRUE,TRUE,36,36,36,36,0.20569740559941,SMCRPH,1.06691899570113,0.0557081128258507,0.281374943925209,0.354490765168524,-0.198492966117638,0.519516057968351,0.479867910042847,0.0942509459355315,1.2170332982233e-05,
GSE15471,PAAD,PI3K_AKT,TRUE,TRUE,36,36,36,36,0.13164639937507,SMCRPH,0.587612989020314,0.0521298591311172,0.0882706643162317,0.291003968363707,-0.0854476280494189,0.293784879311446,0.173718292365651,0.0642225488294483,0.0104797984153392,
GSE15471,PAAD,RAS_MAPK,TRUE,TRUE,36,36,36,36,0.1864436463981,SMCRPH,1.03177355262121,0.0543901774428233,0.149811406907945,0.31412246016026,-0.186631279142933,0.330569897411987,0.336442686050879,0.0685624154666671,2.12332945356066e-05,
GSE15471,PAAD,RET_ALK_NTRK,TRUE,TRUE,36,36,36,36,-0.059195758611701,SMCRPH,-1.07792776471148,0.0691471497573328,-0.261215487965302,0.367882373413073,0.190203723363344,0.455949219471104,-0.451419211328645,0.100427642992382,7.2980515925784e-05,
GSE15471,PAAD,SRC_FAK,TRUE,TRUE,36,36,36,36,0.17077281767643,SMCRPH,-0.0407470836895642,0.0473966296094264,-0.0113921574956534,0.253887586232684,-0.000922312397530542,0.254315442588882,-0.0104698450981228,0.0545391020295062,0.848875538412578,
GSE15471,PAAD,TAM_AXL_AXIS,TRUE,TRUE,36,36,36,36,0.181221572153249,SMCRPH,0.522772623462909,0.048897529551517,0.140065477918868,0.435885443934961,-0.078138295902789,0.388255644634103,0.218203773821657,0.0880972483630661,0.0182328687722603,
GSE15471,PAAD,TGFB_SMAD,TRUE,TRUE,36,36,36,36,-0.00250398566535684,SMCRPH,1.4210593723205,0.075402690126477,0.420936242202153,0.330288373841501,-0.255007677145619,0.577696594423377,0.675943919347772,0.111027939230081,5.91262429880034e-07,
GSE15471,PAAD,TIE_ANGPT_AXIS,TRUE,TRUE,36,36,36,36,0.169844360110603,SMCRPH,0.91682976993837,0.0536998002984405,0.230923482243946,0.457630743442099,-0.213624403133049,0.500428001748266,0.444547885376994,0.103018545763186,0.00012427736971232,
