"context","driver","feature","n_plus","n_minus","events_plus","events_minus","HR_plus","p_plus","HR_minus","p_minus","HR_interaction","p_interaction","fdr_interaction"
"STAD","TP53_mut","TAM_AXL_AXIS",172,209,62,95,1.15867904870557,0.237730297392164,1.2866287985566,0.0109070893618208,0.903610701122592,0.524417406416217,0.957898382242042
"STAD","TP53_mut","TGFB_SMAD",172,209,62,95,1.08397994803492,0.538331387181345,1.23614507761327,0.0522849098999347,0.87682399187918,0.441445673500406,0.957898382242042
"STAD","TP53_mut","TIE_ANGPT_AXIS",172,209,62,95,1.37172828024783,0.0131823334725322,1.26529124666036,0.0208111919869255,1.08252894372494,0.624894354783676,0.957898382242042
"STAD","TP53_mut","VEGF_PDGF_AXIS",172,209,62,95,1.2606757979587,0.0708570523835571,1.19505651762151,0.0908388964647259,1.0508643494578,0.764097382837507,0.957898382242042
"STAD","TP53_mut","WNT_CTNNB1",172,209,62,95,0.838679159920944,0.135652294218941,0.84773779597765,0.110674709357592,0.983683107540762,0.916142160858083,0.983432752794374
"HCC","TP53_mut","EGFR",107,250,40,88,0.857122390270355,0.23596224281374,0.860012223040856,0.184415275956662,1.01123213491182,0.946126038390721,0.983432752794374
"HCC","TP53_mut","EPH_RECEPTORS",107,250,40,88,0.966263250521965,0.832559587503347,0.912548819200512,0.343221978396373,1.11359966073108,0.566096995349625,0.957898382242042
"HCC","TP53_mut","ERBB_LIGANDS",107,250,40,88,1.21265925082677,0.149509005454208,1.19729623131302,0.101837245320812,1.03490782183707,0.840702685864759,0.983432752794374
"HCC","TP53_mut","ERBB_RECEPTORS",107,250,40,88,0.793046967942224,0.0831148939327651,0.939706686606496,0.556508171523764,0.848305073219994,0.334335292106751,0.957898382242042
"HCC","TP53_mut","FGFR_AXIS",107,250,40,88,1.16069878776242,0.294583685295321,0.927218620236576,0.508335453511498,1.31103015455326,0.133024677709791,0.89791657454109
"HCC","TP53_mut","HGF_MET_AXIS",107,250,40,88,0.815009153875552,0.228625620147085,1.11594545744756,0.319038946165999,0.783235122297299,0.205308719786779,0.94370508256248
"HCC","TP53_mut","IGF_INSR_AXIS",107,250,40,88,0.903756596488676,0.49210055525052,0.802718874614064,0.045049165055938,1.13483123075942,0.491162698947462,0.957898382242042
"HCC","TP53_mut","JAK_STAT",107,250,40,88,1.0158170481184,0.917000728684039,0.749030692546073,0.00646372628452876,1.29366139198034,0.148523128507002,0.943558698750363
"HCC","TP53_mut","PDGFR_KIT_CSF1R",107,250,40,88,1.25339682573513,0.167499566411572,0.840634951602738,0.117785384489844,1.47710572227021,0.04449110526788,0.761450908658184
"HCC","TP53_mut","PI3K_AKT",107,250,40,88,1.00727564958659,0.963084630904835,0.980346547717987,0.84034282745337,0.990694660320815,0.956115176327864,0.983432752794374
"HCC","TP53_mut","RAS_MAPK",107,250,40,88,1.66512955339503,0.00896402391070066,1.32278023837742,0.0164342913414017,1.25194183240402,0.298679273300374,0.957898382242042
"HCC","TP53_mut","RET_ALK_NTRK",107,250,40,88,0.951475522897157,0.748970924882942,0.914422148963182,0.406814719702631,1.03961414188584,0.838195457754817,0.983432752794374
"HCC","TP53_mut","SRC_FAK",107,250,40,88,0.960761278546898,0.778477781708237,0.835204460077939,0.097902333371009,1.14546957303752,0.434215218288519,0.957898382242042
"HCC","TP53_mut","TAM_AXL_AXIS",107,250,40,88,1.83979585707729,0.000125573615220258,0.989969394644877,0.929386511127917,1.80555072066184,0.00203983170473661,0.220301824111553
"HCC","TP53_mut","TGFB_SMAD",107,250,40,88,1.51994993613079,0.0174470114302888,1.01542988591391,0.88627650479343,1.44565247656414,0.0633106793182005,0.761450908658184
"HCC","TP53_mut","TIE_ANGPT_AXIS",107,250,40,88,1.16403595209389,0.320305910819256,1.04274773781965,0.714702437501602,1.0569311785013,0.76459939990655,0.957898382242042
"HCC","TP53_mut","VEGF_PDGF_AXIS",107,250,40,88,1.13092129897054,0.433777471208605,0.985389715063017,0.891684111782477,1.13300435705955,0.508640643182057,0.957898382242042
"HCC","TP53_mut","WNT_CTNNB1",107,250,40,88,1.1527928332159,0.368531932633884,0.989036146390165,0.921547641508045,1.15117915939809,0.465074098975284,0.957898382242042
"ESCC","EGFR_amp","EGFR",14,80,3,28,NA,NA,0.480824631075404,0.000967599782352096,2.61105624555821,0.0674925731298539,0.761450908658184
"ESCC","EGFR_amp","EPH_RECEPTORS",14,80,3,28,NA,NA,0.645938446301757,0.0181222295763966,1.03647056276861,0.94846906200222,0.983432752794374
"ESCC","EGFR_amp","ERBB_LIGANDS",14,80,3,28,NA,NA,0.657150818663532,0.0332179109731586,2.74453248929211,0.189337679698287,0.94370508256248
"ESCC","EGFR_amp","ERBB_RECEPTORS",14,80,3,28,NA,NA,0.700615722700614,0.0623990774516644,0.783683039050124,0.771780880382992,0.957898382242042
"ESCC","EGFR_amp","FGFR_AXIS",14,80,3,28,NA,NA,0.777622380954705,0.183141102422384,1.48121884223426,0.449421649413356,0.957898382242042
