"accession","disease","role","feature","n_case","n_control","paired","npair","r_emp","smd_unified","var_unified","d_adj","se_adj","p_adj","df_resid","joint_fallback","rank_full"
"GSE87473","IBD","validation","SRC_FAK",106,21,FALSE,NA,NA,0.459108946103926,0.0578828564359256,0.096543557296124,0.311697638473445,0.757295536831924,121,FALSE,TRUE
"GSE87473","IBD","validation","TAM_AXL_AXIS",106,21,FALSE,NA,NA,0.80094815809744,0.0595786711113863,-0.113674358533863,0.311697638473446,0.71597620300873,121,FALSE,TRUE
"GSE87473","IBD","validation","TGFB_SMAD",106,21,FALSE,NA,NA,1.4948038092331,0.0658500115686229,0.629299065700744,0.311697638473445,0.0457036458149182,121,FALSE,TRUE
"GSE87473","IBD","validation","TIE_ANGPT_AXIS",106,21,FALSE,NA,NA,1.25986342591351,0.0633020486704211,0.0547269837762931,0.311697638473445,0.860919641831234,121,FALSE,TRUE
"GSE87473","IBD","validation","VEGF_PDGF_AXIS",106,21,FALSE,NA,NA,1.14228811919805,0.0621901049511554,-0.214673876327281,0.311697638473446,0.492314943294114,121,FALSE,TRUE
"GSE87473","IBD","validation","WNT_CTNNB1",106,21,FALSE,NA,NA,0.77263648673487,0.0594032742164033,1.41745762977199,0.311697638473445,1.29773049256347e-05,121,FALSE,TRUE
"GSE179285","IBD","validation","EPH_RECEPTORS",22,31,FALSE,NA,NA,0.208422214130411,0.0781224195871181,-0.206999017424072,0.344116163414811,0.550372231080267,47,FALSE,TRUE
"GSE179285","IBD","validation","ERBB_LIGANDS",22,31,FALSE,NA,NA,0.201934215209841,0.0780973026807916,0.0945428054104635,0.344116163414811,0.784719365410507,47,FALSE,TRUE
"GSE179285","IBD","validation","ERBB_RECEPTORS",22,31,FALSE,NA,NA,-1.19400827759638,0.0911621926779261,-0.748710762233133,0.344116163414811,0.0346359127029318,47,FALSE,TRUE
"GSE179285","IBD","validation","FGFR_AXIS",22,31,FALSE,NA,NA,-0.0299528588122807,0.0777210738739861,-0.39819763365394,0.344116163414811,0.253054111264429,47,FALSE,TRUE
"GSE179285","IBD","validation","HGF_MET_AXIS",22,31,FALSE,NA,NA,1.22712495174091,0.0919186066422323,0.806480240285871,0.344116163414811,0.023378054270271,47,FALSE,TRUE
"GSE179285","IBD","validation","IGF_INSR_AXIS",22,31,FALSE,NA,NA,-0.371315357765053,0.0790133184132423,-0.213153026470417,0.344116163414811,0.538629852817582,47,FALSE,TRUE
